slug	status	previous_status	previous_confidence	confidence	previous_posterior	posterior	previous_satisfiable_count	distinct_solutions	assignment_changed
BRPF1-Related_Intellectual_Disability	ALL_MAPPINGS_CONSISTENT	ALL_MAPPINGS_CONSISTENT	0.5	0.95	0.222082223671	0.852846527694	36	16	False
Bachmann-Bupp_Syndrome	ALL_MAPPINGS_CONSISTENT	ALL_MAPPINGS_CONSISTENT	0.5	0.9	0.196446649915	0.723343335929	72	32	False
Bailey-Bloch_Congenital_Myopathy	ALL_MAPPINGS_CONSISTENT	ALL_MAPPINGS_CONSISTENT	0.5	0.9	0.177293101549	0.652817360676	288	128	False
Bainbridge-Ropers_Syndrome	ALL_MAPPINGS_CONSISTENT	ALL_MAPPINGS_CONSISTENT	0.5	0.9	0.189880301238	0.729183781178	144	64	False
Bannayan-Riley-Ruvalcaba_Syndrome	ALL_MAPPINGS_CONSISTENT	ALL_MAPPINGS_CONSISTENT	0.5	0.9	0.168428446471	0.620176492642	576	256	False
Bardet-Biedl_Syndrome	ALL_MAPPINGS_CONSISTENT	ALL_MAPPINGS_CONSISTENT	0.5	0.9	0.168428446471	0.620176492642	576	256	False
Basel-Vanagaite-Smirin-Yosef_Syndrome	ALL_MAPPINGS_CONSISTENT	ALL_MAPPINGS_CONSISTENT	0.5	0.9	0.196446649915	0.723343335929	72	32	False
Bazex_Dupre_Christol_Syndrome	RETRACTED	RETRACTED	0.5	0.5	0.090667684576	0.333850770429	216	96	False
Behr_Syndrome	ALL_MAPPINGS_CONSISTENT	ALL_MAPPINGS_CONSISTENT	0.5	0.9	0.168428446471	0.620176492642	576	256	False
Berardinelli_Seip_Congenital_Lipodystrophy	RETRACTED	RETRACTED	0.5	0.5	0.097374513456	0.373940400604	216	96	False
Beta-Ketothiolase_Deficiency	ALL_MAPPINGS_CONSISTENT	ALL_MAPPINGS_CONSISTENT	0.5	0.9	0.168428446471	0.620176492642	576	256	False
Beta_Thalassemia	TIMED_OUT	ALL_MAPPINGS_CONSISTENT	0.5	0.9	0.168896303267	0.621899205122	1152	512	False
Bietti_Crystalline_Dystrophy	ALL_MAPPINGS_CONSISTENT	ALL_MAPPINGS_CONSISTENT	0.5	0.9	0.168428446471	0.620176492642	576	256	False
Bilateral_Microtia-Deafness-Cleft_Palate_Syndrome	ALL_MAPPINGS_CONSISTENT	ALL_MAPPINGS_CONSISTENT	0.5	0.9	0.186624317419	0.687176169133	144	64	False
Bilateral_Striopallidodentate_Calcinosis	ALL_MAPPINGS_CONSISTENT	ALL_MAPPINGS_CONSISTENT	0.5	0.9	0.177293101549	0.652817360676	288	128	False
Birt-Hogg-Dube_Syndrome	ALL_MAPPINGS_CONSISTENT	ALL_MAPPINGS_CONSISTENT	0.5	0.9	0.241854909098	0.890542734293	9	4	False
Bjornstad_Syndrome	ALL_MAPPINGS_CONSISTENT	ALL_MAPPINGS_CONSISTENT	0.5	0.9	0.177293101549	0.652817360676	288	128	False
Bleeding_Disorder_Platelet-type_21	ALL_MAPPINGS_CONSISTENT	ALL_MAPPINGS_CONSISTENT	0.5	0.9	0.229762163644	0.846015597578	18	8	False
Blepharophimosis-Impaired_Intellectual_Development_Syndrome	ALL_MAPPINGS_CONSISTENT	ALL_MAPPINGS_CONSISTENT	0.5	0.9	0.186624317419	0.687176169133	144	64	False
Blepharophimosis_Intellectual_Disability_Syndrome_MKB_Type	ALL_MAPPINGS_CONSISTENT	ALL_MAPPINGS_CONSISTENT	0.5	0.9	0.196446649915	0.723343335929	72	32	False
Blepharophimosis_Ptosis_and_Epicanthus_Inversus_Syndrome	ALL_MAPPINGS_CONSISTENT	ALL_MAPPINGS_CONSISTENT	0.5	0.9	0.177293101549	0.652817360676	288	128	False
Bloom_Syndrome	TIMED_OUT	ALL_MAPPINGS_CONSISTENT	0.5	0.9	0.162798623274	0.625183944387	1152	512	False
Blue_Cone_Monochromacy	ALL_MAPPINGS_CONSISTENT	ALL_MAPPINGS_CONSISTENT	0.5	0.9	0.177293101549	0.652817360676	288	128	False
Bohring-Opitz_syndrome	ALL_MAPPINGS_CONSISTENT	ALL_MAPPINGS_CONSISTENT	0.5	0.9	0.180386286176	0.692724592119	288	128	False
Bone_Marrow_Failure_Syndrome_6	ALL_MAPPINGS_CONSISTENT	ALL_MAPPINGS_CONSISTENT	0.5	0.9	0.229762163644	0.846015597578	18	8	False
