disease_name	disease_id	total_gaps	missing_locally	covered_by_broader	unlinked_to_pathograph	local_missing_evidence
Cortisone Reductase Deficiency	MONDO:0000193	7	6	1	0	0
Adult Polyglucosan Body Disease	MONDO:0009897	7	6	0	1	0
DSP Cardiomyopathy	MONDO:0011831	6	3	2	1	0
Amyotrophic Lateral Sclerosis-Parkinsonism-Dementia Complex	MONDO:0007104	6	6	0	0	0
Clear Cell Sarcoma	MONDO:0002926	6	0	0	4	2
Bladder Urothelial Carcinoma	MONDO:0005611	6	0	0	3	3
Abdominal Aortic Aneurysm	MONDO:0005350	6	0	0	4	2
Congenital Lactase Deficiency	MONDO:0009115	6	3	0	3	0
Chronic Myelomonocytic Leukemia	MONDO:0020311	6	1	0	5	0
Alopecia Areata	MONDO:0005340	6	1	5	0	0
Carotid Artery Occlusion	MONDO:0004450	6	0	0	6	0
Alveolar Rhabdomyosarcoma	MONDO:0009994	6	0	1	4	1
Delayed Sleep Phase Syndrome	MONDO:0024377	6	0	0	6	0
Aortic Valve Disease 2	MONDO:0013902	6	5	1	0	0
Congestive Splenomegaly	MONDO:0037251	6	0	0	6	0
Aortitis	MONDO:0006656	5	0	0	5	0
Cervical Artery Dissection	MONDO:0006061	5	0	0	5	0
Cutaneous larva migrans	MONDO:0018500	5	0	0	5	0
Acute Lymphoblastic Leukemia	MONDO:0004967	5	5	0	0	0
Carotid Stenosis	MONDO:0001612	5	0	0	5	0
Allopurinol-Induced Stevens-Johnson Syndrome/Toxic Epidermal Necrolysis	MONDO:0044739	5	0	0	5	0
Cardiac Arrhythmia, Ankyrin-B-Related	MONDO:0010958	5	4	1	0	0
Cerebral Proliferative Angiopathy	MONDO:0979258	5	0	0	5	0
Coronary Artery Disease	MONDO:0021661	5	0	0	3	2
Chronic Traumatic Encephalopathy	MONDO:0043512	4	0	0	4	0
Chickenpox	MONDO:0005700	4	0	0	4	0
Congenital Zika Syndrome	MONDO:0000890	4	0	0	4	0
Diabetic Retinopathy	MONDO:0005266	4	0	0	4	0
Allergic Cutaneous Vasculitis	MONDO:0001290	4	0	0	4	0
Autosomal Recessive Dopa-Responsive Dystonia	MONDO:0011551	4	2	2	0	0
Chronic Kidney Disease	MONDO:0005300	4	0	0	0	4
Congenital Pulmonary Airway Malformation	MONDO:0016580	4	3	0	0	1
Diffuse Astrocytoma	MONDO:0016686	4	0	0	0	4
Autoimmune Gastritis	MONDO:0031014	4	0	0	0	4
Cough Variant Asthma	MONDO:0001491	3	0	0	3	0
Dissociative Identity Disorder	MONDO:0001159	3	0	0	3	0
CRADD-Related Thin Lissencephaly	MONDO:0013785	3	2	1	0	0
Anorexia Nervosa	MONDO:0005351	3	0	0	3	0
Arterial Dissection-Lentiginosis Syndrome	MONDO:0010889	3	3	0	0	0
Bulimia Nervosa	MONDO:0005452	3	0	0	3	0
Autoimmune Retinopathy	MONDO:0100014	3	0	0	3	0
Aland Islands Eye Disease	MONDO:0010371	3	0	2	1	0
Cauda Equina Syndrome	MONDO:0005693	3	0	0	3	0
Dental Caries	MONDO:0005276	3	0	0	3	0
Dermoid Cyst	MONDO:0002378	3	0	0	1	2
Congenital Hypofibrinogenemia	MONDO:0015096	3	0	3	0	0
Acute Macular Neuroretinopathy	MONDO:0044627	3	0	0	3	0
Dental Fluorosis	MONDO:0006722	3	0	0	3	0
Clear Cell Ovarian Carcinoma	MONDO:0000548	3	0	0	2	1
Complete androgen insensitivity syndrome	MONDO:0021023	3	0	0	3	0
Cervical Adenocarcinoma	MONDO:0005153	3	0	0	0	3
Cervical Cancer	MONDO:0002974	2	2	0	0	0
Aromatase Deficiency	MONDO:0013301	2	1	1	0	0
Cannabis Hyperemesis Syndrome	MONDO:0100094	2	0	0	2	0
Avoidant Restrictive Food Intake Disorder	MONDO:7770002	2	0	0	2	0
Chordoma	MONDO:0008978	2	2	0	0	0
Attention Deficit-Hyperactivity Disorder	MONDO:0007743	2	1	1	0	0
Chondrosarcoma	MONDO:0008977	2	1	0	1	0
Brachyphalangy-Polydactyly-Tibial Aplasia Syndrome	MONDO:0700354	2	0	0	2	0
Cholesteatoma	MONDO:0006530	2	0	0	2	0
Carotid web	MONDO:0979323	2	0	0	2	0
Dieulafoy Lesion	MONDO:0001427	2	0	0	2	0
Contact Dermatitis	MONDO:0005480	2	0	0	2	0
Cutaneous Squamous Cell Carcinoma	MONDO:0002529	2	0	0	0	2
Ameloblastoma	MONDO:0017795	2	0	0	2	0
Acute Lichenoid Pityriasis	MONDO:0024250	1	0	0	1	0
Binge Eating Disorder	MONDO:0005582	1	0	0	1	0
46,XY disorder of sex development due to 5-alpha-reductase 2 deficiency	MONDO:0009923	1	1	0	0	0
Acute Annular Outer Retinopathy	MONDO:0017299	1	0	0	1	0
Alveolar Soft Part Sarcoma	MONDO:0011655	1	1	0	0	0
Buruli ulcer	MONDO:0000327	1	0	0	1	0
Adenine Phosphoribosyltransferase Deficiency	MONDO:0013869	1	0	1	0	0
46,XY disorder of sex development due to 17-beta-hydroxysteroid dehydrogenase 3 deficiency	MONDO:0009916	1	1	0	0	0
Cadmium Poisoning	MONDO:0043523	1	0	0	1	0
Campylobacteriosis	MONDO:0005688	1	0	0	1	0
Acute Motor and Sensory Axonal Neuropathy	MONDO:0020348	0	0	0	0	0
Anterior Spinal Artery Syndrome	MONDO:0006650	0	0	0	0	0
Acquired Immunodeficiency Syndrome	MONDO:0012268	0	0	0	0	0
BRCA-Mutant Prostate Cancer	MONDO:0008315	0	0	0	0	0
BRAF V600 Mutant Melanoma	MONDO:0005012	0	0	0	0	0
Acute Hypotension	MONDO:0005174	0	0	0	0	0
Bell's palsy	MONDO:0005665	0	0	0	0	0
Asthma	MONDO:0004979	0	0	0	0	0
Acute Hepatitis C Virus Infection	MONDO:0100371	0	0	0	0	0
Akinetopsia	MONDO:0000660	0	0	0	0	0
Anaplastic Large Cell Lymphoma	MONDO:0020325	0	0	0	0	0
Adult T-Cell Leukemia/Lymphoma	MONDO:0019471	0	0	0	0	0
Systemic AL Amyloidosis	MONDO:0017816	0	0	0	0	0
Acute Myeloid Leukemia with CEBPA Somatic Mutations	MONDO:0017894	0	0	0	0	0
B-Lymphoblastic Leukemia/Lymphoma With Recurrent Genetic Abnormality	MONDO:0035605	0	0	0	0	0
Achoo Syndrome	MONDO:0007038	0	0	0	0	0
Aggressive NK-cell Leukemia	MONDO:0019470	0	0	0	0	0
Bird Fancier's Lung	MONDO:0005668	0	0	0	0	0
Autoinflammation, immune dysregulation, and eosinophilia	MONDO:0033558	0	0	0	0	0
Diffuse Nonepidermolytic Palmoplantar Keratoderma	MONDO:0010962	0	0	0	0	0
CYCS-Related Thrombocytopenia	MONDO:0012775	0	0	0	0	0
Congenital Renal Artery Stenosis	MONDO:0019993	0	0	0	0	0
Acoustic Neuroma	MONDO:0001569	0	0	0	0	0
COL11A2-Related Hearing Loss	MONDO:0011159	0	0	0	0	0
Ankylosing Spondylitis	MONDO:0005306	0	0	0	0	0
Chronic Neurovisceral Acid Sphingomyelinase Deficiency	MONDO:0850058	0	0	0	0	0
Auto-Brewery Syndrome	MONDO:0971031	0	0	0	0	0
Autoimmune Autonomic Ganglionopathy	MONDO:0016499	0	0	0	0	0
Breast Implant-Associated Anaplastic Large Cell Lymphoma	MONDO:0850112	0	0	0	0	0
Congenital Epulis	MONDO:0015528	0	0	0	0	0
Boutonneuse fever	MONDO:0024472	0	0	0	0	0
Acute Flaccid Myelitis	MONDO:0100115	0	0	0	0	0
Body Dysmorphic Disorder	MONDO:0000690	0	0	0	0	0
COVID-19	MONDO:0100096	0	0	0	0	0
Borderline Personality Disorder	MONDO:0001156	0	0	0	0	0
Ainhum	MONDO:0007074	0	0	0	0	0
Acne Vulgaris	MONDO:0011438	0	0	0	0	0
CDH23-associated pituitary adenoma 5	MONDO:0054601	0	0	0	0	0
Choroid Plexus Carcinoma	MONDO:0016718	0	0	0	0	0
Arteriosclerotic Retinopathy	MONDO:0042495	0	0	0	0	0
Acetaminophen Hepatotoxicity	MONDO:0018741	0	0	0	0	0
Cystinuria	MONDO:0009067	0	0	0	0	0
Dacryocystitis-Osteopoikilosis Syndrome	MONDO:0008158	0	0	0	0	0
Alcohol-Associated Liver Disease	MONDO:0043693	0	0	0	0	0
Acute Megakaryoblastic Leukemia	MONDO:0018872	0	0	0	0	0
Breast Fibroadenoma	MONDO:0002056	0	0	0	0	0
