accession,dataset,organism,tissue,source_metadata,in_DepressionMood_PAC,in_ADprogression_PAC,assigned_group,included,exclusion_reason
M32482,Supp6_PAC,Homo sapiens,DLPFC,PsychAD snRNA-seq (syn60084804); labels not provided in Supp Data 6,0,1,unlabeled,0,not present in both Depression and AD-progression PAC sheets
M32561,Supp6_PAC,Homo sapiens,DLPFC,PsychAD snRNA-seq (syn60084804); labels not provided in Supp Data 6,0,1,unlabeled,0,not present in both Depression and AD-progression PAC sheets
M32714,Supp6_PAC,Homo sapiens,DLPFC,PsychAD snRNA-seq (syn60084804); labels not provided in Supp Data 6,0,1,unlabeled,0,not present in both Depression and AD-progression PAC sheets
M32931,Supp6_PAC,Homo sapiens,DLPFC,PsychAD snRNA-seq (syn60084804); labels not provided in Supp Data 6,0,1,unlabeled,0,not present in both Depression and AD-progression PAC sheets
M32995,Supp6_PAC,Homo sapiens,DLPFC,PsychAD snRNA-seq (syn60084804); labels not provided in Supp Data 6,1,1,used_in_depression_vs_ADprogression_correlation,1,
M3319,Supp6_PAC,Homo sapiens,DLPFC,PsychAD snRNA-seq (syn60084804); labels not provided in Supp Data 6,1,1,used_in_depression_vs_ADprogression_correlation,1,
M33390,Supp6_PAC,Homo sapiens,DLPFC,PsychAD snRNA-seq (syn60084804); labels not provided in Supp Data 6,0,1,unlabeled,0,not present in both Depression and AD-progression PAC sheets
M33508,Supp6_PAC,Homo sapiens,DLPFC,PsychAD snRNA-seq (syn60084804); labels not provided in Supp Data 6,0,1,unlabeled,0,not present in both Depression and AD-progression PAC sheets
M336074,Supp6_PAC,Homo sapiens,DLPFC,PsychAD snRNA-seq (syn60084804); labels not provided in Supp Data 6,0,1,unlabeled,0,not present in both Depression and AD-progression PAC sheets
M33688,Supp6_PAC,Homo sapiens,DLPFC,PsychAD snRNA-seq (syn60084804); labels not provided in Supp Data 6,0,1,unlabeled,0,not present in both Depression and AD-progression PAC sheets
M33690,Supp6_PAC,Homo sapiens,DLPFC,PsychAD snRNA-seq (syn60084804); labels not provided in Supp Data 6,1,1,used_in_depression_vs_ADprogression_correlation,1,
M33789,Supp6_PAC,Homo sapiens,DLPFC,PsychAD snRNA-seq (syn60084804); labels not provided in Supp Data 6,1,1,used_in_depression_vs_ADprogression_correlation,1,
M33868,Supp6_PAC,Homo sapiens,DLPFC,PsychAD snRNA-seq (syn60084804); labels not provided in Supp Data 6,0,1,unlabeled,0,not present in both Depression and AD-progression PAC sheets
M33987,Supp6_PAC,Homo sapiens,DLPFC,PsychAD snRNA-seq (syn60084804); labels not provided in Supp Data 6,0,1,unlabeled,0,not present in both Depression and AD-progression PAC sheets
M34015,Supp6_PAC,Homo sapiens,DLPFC,PsychAD snRNA-seq (syn60084804); labels not provided in Supp Data 6,1,1,used_in_depression_vs_ADprogression_correlation,1,
M34070,Supp6_PAC,Homo sapiens,DLPFC,PsychAD snRNA-seq (syn60084804); labels not provided in Supp Data 6,0,1,unlabeled,0,not present in both Depression and AD-progression PAC sheets
M34238,Supp6_PAC,Homo sapiens,DLPFC,PsychAD snRNA-seq (syn60084804); labels not provided in Supp Data 6,0,1,unlabeled,0,not present in both Depression and AD-progression PAC sheets
M34302,Supp6_PAC,Homo sapiens,DLPFC,PsychAD snRNA-seq (syn60084804); labels not provided in Supp Data 6,1,1,used_in_depression_vs_ADprogression_correlation,1,
M34371,Supp6_PAC,Homo sapiens,DLPFC,PsychAD snRNA-seq (syn60084804); labels not provided in Supp Data 6,1,1,used_in_depression_vs_ADprogression_correlation,1,
M34583,Supp6_PAC,Homo sapiens,DLPFC,PsychAD snRNA-seq (syn60084804); labels not provided in Supp Data 6,0,1,unlabeled,0,not present in both Depression and AD-progression PAC sheets
M34682,Supp6_PAC,Homo sapiens,DLPFC,PsychAD snRNA-seq (syn60084804); labels not provided in Supp Data 6,0,1,unlabeled,0,not present in both Depression and AD-progression PAC sheets
M34701,Supp6_PAC,Homo sapiens,DLPFC,PsychAD snRNA-seq (syn60084804); labels not provided in Supp Data 6,0,1,unlabeled,0,not present in both Depression and AD-progression PAC sheets
M34815,Supp6_PAC,Homo sapiens,DLPFC,PsychAD snRNA-seq (syn60084804); labels not provided in Supp Data 6,1,1,used_in_depression_vs_ADprogression_correlation,1,
M35096,Supp6_PAC,Homo sapiens,DLPFC,PsychAD snRNA-seq (syn60084804); labels not provided in Supp Data 6,0,1,unlabeled,0,not present in both Depression and AD-progression PAC sheets
M35115,Supp6_PAC,Homo sapiens,DLPFC,PsychAD snRNA-seq (syn60084804); labels not provided in Supp Data 6,1,1,used_in_depression_vs_ADprogression_correlation,1,
M35312,Supp6_PAC,Homo sapiens,DLPFC,PsychAD snRNA-seq (syn60084804); labels not provided in Supp Data 6,0,1,unlabeled,0,not present in both Depression and AD-progression PAC sheets
M35594,Supp6_PAC,Homo sapiens,DLPFC,PsychAD snRNA-seq (syn60084804); labels not provided in Supp Data 6,1,1,used_in_depression_vs_ADprogression_correlation,1,
M35609,Supp6_PAC,Homo sapiens,DLPFC,PsychAD snRNA-seq (syn60084804); labels not provided in Supp Data 6,1,1,used_in_depression_vs_ADprogression_correlation,1,
M3566,Supp6_PAC,Homo sapiens,DLPFC,PsychAD snRNA-seq (syn60084804); labels not provided in Supp Data 6,1,1,used_in_depression_vs_ADprogression_correlation,1,
M35758,Supp6_PAC,Homo sapiens,DLPFC,PsychAD snRNA-seq (syn60084804); labels not provided in Supp Data 6,1,1,used_in_depression_vs_ADprogression_correlation,1,
M35840,Supp6_PAC,Homo sapiens,DLPFC,PsychAD snRNA-seq (syn60084804); labels not provided in Supp Data 6,0,1,unlabeled,0,not present in both Depression and AD-progression PAC sheets
M36047,Supp6_PAC,Homo sapiens,DLPFC,PsychAD snRNA-seq (syn60084804); labels not provided in Supp Data 6,0,1,unlabeled,0,not present in both Depression and AD-progression PAC sheets
M36067,Supp6_PAC,Homo sapiens,DLPFC,PsychAD snRNA-seq (syn60084804); labels not provided in Supp Data 6,1,1,used_in_depression_vs_ADprogression_correlation,1,
M36121,Supp6_PAC,Homo sapiens,DLPFC,PsychAD snRNA-seq (syn60084804); labels not provided in Supp Data 6,0,1,unlabeled,0,not present in both Depression and AD-progression PAC sheets
M36203,Supp6_PAC,Homo sapiens,DLPFC,PsychAD snRNA-seq (syn60084804); labels not provided in Supp Data 6,0,1,unlabeled,0,not present in both Depression and AD-progression PAC sheets
M36388,Supp6_PAC,Homo sapiens,DLPFC,PsychAD snRNA-seq (syn60084804); labels not provided in Supp Data 6,1,1,used_in_depression_vs_ADprogression_correlation,1,
M36615,Supp6_PAC,Homo sapiens,DLPFC,PsychAD snRNA-seq (syn60084804); labels not provided in Supp Data 6,1,1,used_in_depression_vs_ADprogression_correlation,1,
M36634,Supp6_PAC,Homo sapiens,DLPFC,PsychAD snRNA-seq (syn60084804); labels not provided in Supp Data 6,1,1,used_in_depression_vs_ADprogression_correlation,1,
M37107,Supp6_PAC,Homo sapiens,DLPFC,PsychAD snRNA-seq (syn60084804); labels not provided in Supp Data 6,0,1,unlabeled,0,not present in both Depression and AD-progression PAC sheets
M37256,Supp6_PAC,Homo sapiens,DLPFC,PsychAD snRNA-seq (syn60084804); labels not provided in Supp Data 6,0,1,unlabeled,0,not present in both Depression and AD-progression PAC sheets
M37330,Supp6_PAC,Homo sapiens,DLPFC,PsychAD snRNA-seq (syn60084804); labels not provided in Supp Data 6,1,1,used_in_depression_vs_ADprogression_correlation,1,
M3760,Supp6_PAC,Homo sapiens,DLPFC,PsychAD snRNA-seq (syn60084804); labels not provided in Supp Data 6,0,1,unlabeled,0,not present in both Depression and AD-progression PAC sheets
M37684,Supp6_PAC,Homo sapiens,DLPFC,PsychAD snRNA-seq (syn60084804); labels not provided in Supp Data 6,1,1,used_in_depression_vs_ADprogression_correlation,1,
M37941,Supp6_PAC,Homo sapiens,DLPFC,PsychAD snRNA-seq (syn60084804); labels not provided in Supp Data 6,0,1,unlabeled,0,not present in both Depression and AD-progression PAC sheets
M37960,Supp6_PAC,Homo sapiens,DLPFC,PsychAD snRNA-seq (syn60084804); labels not provided in Supp Data 6,1,1,used_in_depression_vs_ADprogression_correlation,1,
M3797,Supp6_PAC,Homo sapiens,DLPFC,PsychAD snRNA-seq (syn60084804); labels not provided in Supp Data 6,0,1,unlabeled,0,not present in both Depression and AD-progression PAC sheets
M38069,Supp6_PAC,Homo sapiens,DLPFC,PsychAD snRNA-seq (syn60084804); labels not provided in Supp Data 6,1,1,used_in_depression_vs_ADprogression_correlation,1,
M38405,Supp6_PAC,Homo sapiens,DLPFC,PsychAD snRNA-seq (syn60084804); labels not provided in Supp Data 6,0,1,unlabeled,0,not present in both Depression and AD-progression PAC sheets
M384383,Supp6_PAC,Homo sapiens,DLPFC,PsychAD snRNA-seq (syn60084804); labels not provided in Supp Data 6,0,1,unlabeled,0,not present in both Depression and AD-progression PAC sheets
M38454,Supp6_PAC,Homo sapiens,DLPFC,PsychAD snRNA-seq (syn60084804); labels not provided in Supp Data 6,0,1,unlabeled,0,not present in both Depression and AD-progression PAC sheets
M38519,Supp6_PAC,Homo sapiens,DLPFC,PsychAD snRNA-seq (syn60084804); labels not provided in Supp Data 6,0,1,unlabeled,0,not present in both Depression and AD-progression PAC sheets
M38686,Supp6_PAC,Homo sapiens,DLPFC,PsychAD snRNA-seq (syn60084804); labels not provided in Supp Data 6,1,1,used_in_depression_vs_ADprogression_correlation,1,
M39198,Supp6_PAC,Homo sapiens,DLPFC,PsychAD snRNA-seq (syn60084804); labels not provided in Supp Data 6,0,1,unlabeled,0,not present in both Depression and AD-progression PAC sheets
M39233,Supp6_PAC,Homo sapiens,DLPFC,PsychAD snRNA-seq (syn60084804); labels not provided in Supp Data 6,1,1,used_in_depression_vs_ADprogression_correlation,1,
M39413,Supp6_PAC,Homo sapiens,DLPFC,PsychAD snRNA-seq (syn60084804); labels not provided in Supp Data 6,1,1,used_in_depression_vs_ADprogression_correlation,1,
M39480,Supp6_PAC,Homo sapiens,DLPFC,PsychAD snRNA-seq (syn60084804); labels not provided in Supp Data 6,1,1,used_in_depression_vs_ADprogression_correlation,1,
M395695,Supp6_PAC,Homo sapiens,DLPFC,PsychAD snRNA-seq (syn60084804); labels not provided in Supp Data 6,0,1,unlabeled,0,not present in both Depression and AD-progression PAC sheets
M39711,Supp6_PAC,Homo sapiens,DLPFC,PsychAD snRNA-seq (syn60084804); labels not provided in Supp Data 6,0,1,unlabeled,0,not present in both Depression and AD-progression PAC sheets
M4009,Supp6_PAC,Homo sapiens,DLPFC,PsychAD snRNA-seq (syn60084804); labels not provided in Supp Data 6,1,1,used_in_depression_vs_ADprogression_correlation,1,
M40103,Supp6_PAC,Homo sapiens,DLPFC,PsychAD snRNA-seq (syn60084804); labels not provided in Supp Data 6,1,1,used_in_depression_vs_ADprogression_correlation,1,
M40274,Supp6_PAC,Homo sapiens,DLPFC,PsychAD snRNA-seq (syn60084804); labels not provided in Supp Data 6,0,1,unlabeled,0,not present in both Depression and AD-progression PAC sheets
M4030,Supp6_PAC,Homo sapiens,DLPFC,PsychAD snRNA-seq (syn60084804); labels not provided in Supp Data 6,1,1,used_in_depression_vs_ADprogression_correlation,1,
M40437,Supp6_PAC,Homo sapiens,DLPFC,PsychAD snRNA-seq (syn60084804); labels not provided in Supp Data 6,0,1,unlabeled,0,not present in both Depression and AD-progression PAC sheets
M40565,Supp6_PAC,Homo sapiens,DLPFC,PsychAD snRNA-seq (syn60084804); labels not provided in Supp Data 6,0,1,unlabeled,0,not present in both Depression and AD-progression PAC sheets
M40584,Supp6_PAC,Homo sapiens,DLPFC,PsychAD snRNA-seq (syn60084804); labels not provided in Supp Data 6,0,1,unlabeled,0,not present in both Depression and AD-progression PAC sheets
M4078,Supp6_PAC,Homo sapiens,DLPFC,PsychAD snRNA-seq (syn60084804); labels not provided in Supp Data 6,0,1,unlabeled,0,not present in both Depression and AD-progression PAC sheets
M40816,Supp6_PAC,Homo sapiens,DLPFC,PsychAD snRNA-seq (syn60084804); labels not provided in Supp Data 6,0,1,unlabeled,0,not present in both Depression and AD-progression PAC sheets
M40820,Supp6_PAC,Homo sapiens,DLPFC,PsychAD snRNA-seq (syn60084804); labels not provided in Supp Data 6,0,1,unlabeled,0,not present in both Depression and AD-progression PAC sheets
M41136,Supp6_PAC,Homo sapiens,DLPFC,PsychAD snRNA-seq (syn60084804); labels not provided in Supp Data 6,1,1,used_in_depression_vs_ADprogression_correlation,1,
M41250,Supp6_PAC,Homo sapiens,DLPFC,PsychAD snRNA-seq (syn60084804); labels not provided in Supp Data 6,0,1,unlabeled,0,not present in both Depression and AD-progression PAC sheets
M41299,Supp6_PAC,Homo sapiens,DLPFC,PsychAD snRNA-seq (syn60084804); labels not provided in Supp Data 6,1,1,used_in_depression_vs_ADprogression_correlation,1,
M41496,Supp6_PAC,Homo sapiens,DLPFC,PsychAD snRNA-seq (syn60084804); labels not provided in Supp Data 6,1,1,used_in_depression_vs_ADprogression_correlation,1,
M41763,Supp6_PAC,Homo sapiens,DLPFC,PsychAD snRNA-seq (syn60084804); labels not provided in Supp Data 6,0,1,unlabeled,0,not present in both Depression and AD-progression PAC sheets
M41832,Supp6_PAC,Homo sapiens,DLPFC,PsychAD snRNA-seq (syn60084804); labels not provided in Supp Data 6,0,1,unlabeled,0,not present in both Depression and AD-progression PAC sheets
M42055,Supp6_PAC,Homo sapiens,DLPFC,PsychAD snRNA-seq (syn60084804); labels not provided in Supp Data 6,0,1,unlabeled,0,not present in both Depression and AD-progression PAC sheets
M42537,Supp6_PAC,Homo sapiens,DLPFC,PsychAD snRNA-seq (syn60084804); labels not provided in Supp Data 6,0,1,unlabeled,0,not present in both Depression and AD-progression PAC sheets
M42557,Supp6_PAC,Homo sapiens,DLPFC,PsychAD snRNA-seq (syn60084804); labels not provided in Supp Data 6,0,1,unlabeled,0,not present in both Depression and AD-progression PAC sheets
M42725,Supp6_PAC,Homo sapiens,DLPFC,PsychAD snRNA-seq (syn60084804); labels not provided in Supp Data 6,0,1,unlabeled,0,not present in both Depression and AD-progression PAC sheets
M42769,Supp6_PAC,Homo sapiens,DLPFC,PsychAD snRNA-seq (syn60084804); labels not provided in Supp Data 6,1,1,used_in_depression_vs_ADprogression_correlation,1,
M42795,Supp6_PAC,Homo sapiens,DLPFC,PsychAD snRNA-seq (syn60084804); labels not provided in Supp Data 6,0,1,unlabeled,0,not present in both Depression and AD-progression PAC sheets
M43069,Supp6_PAC,Homo sapiens,DLPFC,PsychAD snRNA-seq (syn60084804); labels not provided in Supp Data 6,0,1,unlabeled,0,not present in both Depression and AD-progression PAC sheets
M4310,Supp6_PAC,Homo sapiens,DLPFC,PsychAD snRNA-seq (syn60084804); labels not provided in Supp Data 6,0,1,unlabeled,0,not present in both Depression and AD-progression PAC sheets
M43351,Supp6_PAC,Homo sapiens,DLPFC,PsychAD snRNA-seq (syn60084804); labels not provided in Supp Data 6,1,1,used_in_depression_vs_ADprogression_correlation,1,
M43479,Supp6_PAC,Homo sapiens,DLPFC,PsychAD snRNA-seq (syn60084804); labels not provided in Supp Data 6,0,1,unlabeled,0,not present in both Depression and AD-progression PAC sheets
M43632,Supp6_PAC,Homo sapiens,DLPFC,PsychAD snRNA-seq (syn60084804); labels not provided in Supp Data 6,0,1,unlabeled,0,not present in both Depression and AD-progression PAC sheets
M437907,Supp6_PAC,Homo sapiens,DLPFC,PsychAD snRNA-seq (syn60084804); labels not provided in Supp Data 6,1,1,used_in_depression_vs_ADprogression_correlation,1,
M439,Supp6_PAC,Homo sapiens,DLPFC,PsychAD snRNA-seq (syn60084804); labels not provided in Supp Data 6,1,1,used_in_depression_vs_ADprogression_correlation,1,
M43942,Supp6_PAC,Homo sapiens,DLPFC,PsychAD snRNA-seq (syn60084804); labels not provided in Supp Data 6,0,1,unlabeled,0,not present in both Depression and AD-progression PAC sheets
M44145,Supp6_PAC,Homo sapiens,DLPFC,PsychAD snRNA-seq (syn60084804); labels not provided in Supp Data 6,0,1,unlabeled,0,not present in both Depression and AD-progression PAC sheets
M44223,Supp6_PAC,Homo sapiens,DLPFC,PsychAD snRNA-seq (syn60084804); labels not provided in Supp Data 6,1,1,used_in_depression_vs_ADprogression_correlation,1,
M44456,Supp6_PAC,Homo sapiens,DLPFC,PsychAD snRNA-seq (syn60084804); labels not provided in Supp Data 6,0,1,unlabeled,0,not present in both Depression and AD-progression PAC sheets
M44475,Supp6_PAC,Homo sapiens,DLPFC,PsychAD snRNA-seq (syn60084804); labels not provided in Supp Data 6,1,1,used_in_depression_vs_ADprogression_correlation,1,
M44532,Supp6_PAC,Homo sapiens,DLPFC,PsychAD snRNA-seq (syn60084804); labels not provided in Supp Data 6,1,1,used_in_depression_vs_ADprogression_correlation,1,
M44657,Supp6_PAC,Homo sapiens,DLPFC,PsychAD snRNA-seq (syn60084804); labels not provided in Supp Data 6,1,1,used_in_depression_vs_ADprogression_correlation,1,
M44785,Supp6_PAC,Homo sapiens,DLPFC,PsychAD snRNA-seq (syn60084804); labels not provided in Supp Data 6,1,1,used_in_depression_vs_ADprogression_correlation,1,
M44790,Supp6_PAC,Homo sapiens,DLPFC,PsychAD snRNA-seq (syn60084804); labels not provided in Supp Data 6,0,1,unlabeled,0,not present in both Depression and AD-progression PAC sheets
M44889,Supp6_PAC,Homo sapiens,DLPFC,PsychAD snRNA-seq (syn60084804); labels not provided in Supp Data 6,1,1,used_in_depression_vs_ADprogression_correlation,1,
M44958,Supp6_PAC,Homo sapiens,DLPFC,PsychAD snRNA-seq (syn60084804); labels not provided in Supp Data 6,0,1,unlabeled,0,not present in both Depression and AD-progression PAC sheets
M45001,Supp6_PAC,Homo sapiens,DLPFC,PsychAD snRNA-seq (syn60084804); labels not provided in Supp Data 6,0,1,unlabeled,0,not present in both Depression and AD-progression PAC sheets
M45135,Supp6_PAC,Homo sapiens,DLPFC,PsychAD snRNA-seq (syn60084804); labels not provided in Supp Data 6,0,1,unlabeled,0,not present in both Depression and AD-progression PAC sheets
M4516,Supp6_PAC,Homo sapiens,DLPFC,PsychAD snRNA-seq (syn60084804); labels not provided in Supp Data 6,0,1,unlabeled,0,not present in both Depression and AD-progression PAC sheets
M45801,Supp6_PAC,Homo sapiens,DLPFC,PsychAD snRNA-seq (syn60084804); labels not provided in Supp Data 6,1,1,used_in_depression_vs_ADprogression_correlation,1,
M45871,Supp6_PAC,Homo sapiens,DLPFC,PsychAD snRNA-seq (syn60084804); labels not provided in Supp Data 6,0,1,unlabeled,0,not present in both Depression and AD-progression PAC sheets
M45915,Supp6_PAC,Homo sapiens,DLPFC,PsychAD snRNA-seq (syn60084804); labels not provided in Supp Data 6,0,1,unlabeled,0,not present in both Depression and AD-progression PAC sheets
M46112,Supp6_PAC,Homo sapiens,DLPFC,PsychAD snRNA-seq (syn60084804); labels not provided in Supp Data 6,1,1,used_in_depression_vs_ADprogression_correlation,1,
M46146,Supp6_PAC,Homo sapiens,DLPFC,PsychAD snRNA-seq (syn60084804); labels not provided in Supp Data 6,0,1,unlabeled,0,not present in both Depression and AD-progression PAC sheets
M46196,Supp6_PAC,Homo sapiens,DLPFC,PsychAD snRNA-seq (syn60084804); labels not provided in Supp Data 6,1,1,used_in_depression_vs_ADprogression_correlation,1,
M46265,Supp6_PAC,Homo sapiens,DLPFC,PsychAD snRNA-seq (syn60084804); labels not provided in Supp Data 6,1,1,used_in_depression_vs_ADprogression_correlation,1,
M46292,Supp6_PAC,Homo sapiens,DLPFC,PsychAD snRNA-seq (syn60084804); labels not provided in Supp Data 6,0,1,unlabeled,0,not present in both Depression and AD-progression PAC sheets
M46694,Supp6_PAC,Homo sapiens,DLPFC,PsychAD snRNA-seq (syn60084804); labels not provided in Supp Data 6,0,1,unlabeled,0,not present in both Depression and AD-progression PAC sheets
M47108,Supp6_PAC,Homo sapiens,DLPFC,PsychAD snRNA-seq (syn60084804); labels not provided in Supp Data 6,1,1,used_in_depression_vs_ADprogression_correlation,1,
M47207,Supp6_PAC,Homo sapiens,DLPFC,PsychAD snRNA-seq (syn60084804); labels not provided in Supp Data 6,0,1,unlabeled,0,not present in both Depression and AD-progression PAC sheets
M47503,Supp6_PAC,Homo sapiens,DLPFC,PsychAD snRNA-seq (syn60084804); labels not provided in Supp Data 6,0,1,unlabeled,0,not present in both Depression and AD-progression PAC sheets
M47734,Supp6_PAC,Homo sapiens,DLPFC,PsychAD snRNA-seq (syn60084804); labels not provided in Supp Data 6,0,1,unlabeled,0,not present in both Depression and AD-progression PAC sheets
M47819,Supp6_PAC,Homo sapiens,DLPFC,PsychAD snRNA-seq (syn60084804); labels not provided in Supp Data 6,0,1,unlabeled,0,not present in both Depression and AD-progression PAC sheets
M47966,Supp6_PAC,Homo sapiens,DLPFC,PsychAD snRNA-seq (syn60084804); labels not provided in Supp Data 6,0,1,unlabeled,0,not present in both Depression and AD-progression PAC sheets
M48016,Supp6_PAC,Homo sapiens,DLPFC,PsychAD snRNA-seq (syn60084804); labels not provided in Supp Data 6,1,1,used_in_depression_vs_ADprogression_correlation,1,
M48247,Supp6_PAC,Homo sapiens,DLPFC,PsychAD snRNA-seq (syn60084804); labels not provided in Supp Data 6,1,1,used_in_depression_vs_ADprogression_correlation,1,
M48528,Supp6_PAC,Homo sapiens,DLPFC,PsychAD snRNA-seq (syn60084804); labels not provided in Supp Data 6,0,1,unlabeled,0,not present in both Depression and AD-progression PAC sheets
M48992,Supp6_PAC,Homo sapiens,DLPFC,PsychAD snRNA-seq (syn60084804); labels not provided in Supp Data 6,0,1,unlabeled,0,not present in both Depression and AD-progression PAC sheets
M49006,Supp6_PAC,Homo sapiens,DLPFC,PsychAD snRNA-seq (syn60084804); labels not provided in Supp Data 6,0,1,unlabeled,0,not present in both Depression and AD-progression PAC sheets
M49254,Supp6_PAC,Homo sapiens,DLPFC,PsychAD snRNA-seq (syn60084804); labels not provided in Supp Data 6,1,1,used_in_depression_vs_ADprogression_correlation,1,
M49401,Supp6_PAC,Homo sapiens,DLPFC,PsychAD snRNA-seq (syn60084804); labels not provided in Supp Data 6,1,1,used_in_depression_vs_ADprogression_correlation,1,
M49781,Supp6_PAC,Homo sapiens,DLPFC,PsychAD snRNA-seq (syn60084804); labels not provided in Supp Data 6,1,1,used_in_depression_vs_ADprogression_correlation,1,
M49884,Supp6_PAC,Homo sapiens,DLPFC,PsychAD snRNA-seq (syn60084804); labels not provided in Supp Data 6,0,1,unlabeled,0,not present in both Depression and AD-progression PAC sheets
M50086,Supp6_PAC,Homo sapiens,DLPFC,PsychAD snRNA-seq (syn60084804); labels not provided in Supp Data 6,1,1,used_in_depression_vs_ADprogression_correlation,1,
M50146,Supp6_PAC,Homo sapiens,DLPFC,PsychAD snRNA-seq (syn60084804); labels not provided in Supp Data 6,0,1,unlabeled,0,not present in both Depression and AD-progression PAC sheets
M503571,Supp6_PAC,Homo sapiens,DLPFC,PsychAD snRNA-seq (syn60084804); labels not provided in Supp Data 6,0,1,unlabeled,0,not present in both Depression and AD-progression PAC sheets
M50580,Supp6_PAC,Homo sapiens,DLPFC,PsychAD snRNA-seq (syn60084804); labels not provided in Supp Data 6,0,1,unlabeled,0,not present in both Depression and AD-progression PAC sheets
M50743,Supp6_PAC,Homo sapiens,DLPFC,PsychAD snRNA-seq (syn60084804); labels not provided in Supp Data 6,1,1,used_in_depression_vs_ADprogression_correlation,1,
M50883,Supp6_PAC,Homo sapiens,DLPFC,PsychAD snRNA-seq (syn60084804); labels not provided in Supp Data 6,0,1,unlabeled,0,not present in both Depression and AD-progression PAC sheets
M51093,Supp6_PAC,Homo sapiens,DLPFC,PsychAD snRNA-seq (syn60084804); labels not provided in Supp Data 6,1,1,used_in_depression_vs_ADprogression_correlation,1,
M51374,Supp6_PAC,Homo sapiens,DLPFC,PsychAD snRNA-seq (syn60084804); labels not provided in Supp Data 6,0,1,unlabeled,0,not present in both Depression and AD-progression PAC sheets
M514468,Supp6_PAC,Homo sapiens,DLPFC,PsychAD snRNA-seq (syn60084804); labels not provided in Supp Data 6,1,0,unlabeled,0,not present in both Depression and AD-progression PAC sheets
M52631,Supp6_PAC,Homo sapiens,DLPFC,PsychAD snRNA-seq (syn60084804); labels not provided in Supp Data 6,0,1,unlabeled,0,not present in both Depression and AD-progression PAC sheets
M52730,Supp6_PAC,Homo sapiens,DLPFC,PsychAD snRNA-seq (syn60084804); labels not provided in Supp Data 6,1,1,used_in_depression_vs_ADprogression_correlation,1,
M52897,Supp6_PAC,Homo sapiens,DLPFC,PsychAD snRNA-seq (syn60084804); labels not provided in Supp Data 6,1,1,used_in_depression_vs_ADprogression_correlation,1,
M5301,Supp6_PAC,Homo sapiens,DLPFC,PsychAD snRNA-seq (syn60084804); labels not provided in Supp Data 6,1,1,used_in_depression_vs_ADprogression_correlation,1,
M53095,Supp6_PAC,Homo sapiens,DLPFC,PsychAD snRNA-seq (syn60084804); labels not provided in Supp Data 6,0,1,unlabeled,0,not present in both Depression and AD-progression PAC sheets
M5323,Supp6_PAC,Homo sapiens,DLPFC,PsychAD snRNA-seq (syn60084804); labels not provided in Supp Data 6,1,1,used_in_depression_vs_ADprogression_correlation,1,
M53257,Supp6_PAC,Homo sapiens,DLPFC,PsychAD snRNA-seq (syn60084804); labels not provided in Supp Data 6,0,1,unlabeled,0,not present in both Depression and AD-progression PAC sheets
M53390,Supp6_PAC,Homo sapiens,DLPFC,PsychAD snRNA-seq (syn60084804); labels not provided in Supp Data 6,1,1,used_in_depression_vs_ADprogression_correlation,1,
M5358,Supp6_PAC,Homo sapiens,DLPFC,PsychAD snRNA-seq (syn60084804); labels not provided in Supp Data 6,0,1,unlabeled,0,not present in both Depression and AD-progression PAC sheets
M53661,Supp6_PAC,Homo sapiens,DLPFC,PsychAD snRNA-seq (syn60084804); labels not provided in Supp Data 6,1,1,used_in_depression_vs_ADprogression_correlation,1,
M53706,Supp6_PAC,Homo sapiens,DLPFC,PsychAD snRNA-seq (syn60084804); labels not provided in Supp Data 6,0,1,unlabeled,0,not present in both Depression and AD-progression PAC sheets
M53938,Supp6_PAC,Homo sapiens,DLPFC,PsychAD snRNA-seq (syn60084804); labels not provided in Supp Data 6,0,1,unlabeled,0,not present in both Depression and AD-progression PAC sheets
M54150,Supp6_PAC,Homo sapiens,DLPFC,PsychAD snRNA-seq (syn60084804); labels not provided in Supp Data 6,0,1,unlabeled,0,not present in both Depression and AD-progression PAC sheets
M54396,Supp6_PAC,Homo sapiens,DLPFC,PsychAD snRNA-seq (syn60084804); labels not provided in Supp Data 6,0,1,unlabeled,0,not present in both Depression and AD-progression PAC sheets
M54451,Supp6_PAC,Homo sapiens,DLPFC,PsychAD snRNA-seq (syn60084804); labels not provided in Supp Data 6,0,1,unlabeled,0,not present in both Depression and AD-progression PAC sheets
M54682,Supp6_PAC,Homo sapiens,DLPFC,PsychAD snRNA-seq (syn60084804); labels not provided in Supp Data 6,0,1,unlabeled,0,not present in both Depression and AD-progression PAC sheets
M550058,Supp6_PAC,Homo sapiens,DLPFC,PsychAD snRNA-seq (syn60084804); labels not provided in Supp Data 6,0,1,unlabeled,0,not present in both Depression and AD-progression PAC sheets
M55015,Supp6_PAC,Homo sapiens,DLPFC,PsychAD snRNA-seq (syn60084804); labels not provided in Supp Data 6,0,1,unlabeled,0,not present in both Depression and AD-progression PAC sheets
M55245,Supp6_PAC,Homo sapiens,DLPFC,PsychAD snRNA-seq (syn60084804); labels not provided in Supp Data 6,0,1,unlabeled,0,not present in both Depression and AD-progression PAC sheets
M55476,Supp6_PAC,Homo sapiens,DLPFC,PsychAD snRNA-seq (syn60084804); labels not provided in Supp Data 6,0,1,unlabeled,0,not present in both Depression and AD-progression PAC sheets
