curie,label,root,retrieved_at
CL:0011027,skeletal muscle fibroblast,CL:0002320,2026-08-29T15:27:59+00:00
CL:0017004,telocyte,CL:0002320,2026-08-29T15:27:59+00:00
CL:0019002,tracheobronchial chondrocyte,CL:0002320,2026-08-29T15:27:59+00:00
CL:0020000,gut mesenchymal lymphoid tissue organizer cell,CL:0002320,2026-08-29T15:27:59+00:00
CL:0020011,hair follicle associated fibroblast,CL:0002320,2026-08-29T15:27:59+00:00
CL:0020012,hair follicle isthmus-associated fibroblast,CL:0002320,2026-08-29T15:27:59+00:00
CL:0020013,dermal sheath fibroblast,CL:0002320,2026-08-29T15:27:59+00:00
CL:0020018,proliferative fibrochondrocyte,CL:0002320,2026-08-29T15:27:59+00:00
CL:0020019,regulatory chondrocyte,CL:0002320,2026-08-29T15:27:59+00:00
CL:0020020,homeostatic chondrocyte,CL:0002320,2026-08-29T15:27:59+00:00
CL:0020021,fibrochondrocyte progenitor cell,CL:0002320,2026-08-29T15:27:59+00:00
CL:0020022,prehypertrophic chondrocyte,CL:0002320,2026-08-29T15:27:59+00:00
CL:0020023,effector chondrocyte,CL:0002320,2026-08-29T15:27:59+00:00
CL:0020037,superficial zone articular chondrocyte,CL:0002320,2026-08-29T15:27:59+00:00
CL:0020038,middle zone articular chondrocyte,CL:0002320,2026-08-29T15:27:59+00:00
CL:0020039,deep zone articular chondrocyte,CL:0002320,2026-08-29T15:27:59+00:00
CL:0020040,calcified zone articular chondrocyte,CL:0002320,2026-08-29T15:27:59+00:00
CL:0020043,fasciacyte,CL:0002320,2026-08-29T15:27:59+00:00
CL:0020061,periductal fibroblast of salivary gland,CL:0002320,2026-08-29T15:27:59+00:00
CL:1000217,growth plate cartilage chondrocyte,CL:0002320,2026-08-29T15:27:59+00:00
CL:1000299,fibroblast of connective tissue of prostate,CL:0002320,2026-08-29T15:27:59+00:00
CL:1000300,fibroblast of outer membrane of prostatic capsule,CL:0002320,2026-08-29T15:27:59+00:00
CL:1000301,fibroblast of subepithelial connective tissue of prostatic gland,CL:0002320,2026-08-29T15:27:59+00:00
CL:1000302,fibroblast of papillary layer of dermis,CL:0002320,2026-08-29T15:27:59+00:00
