slug	name	parent	mendelian	solver_status	boomer_icd10_terms	direct_icd10cm_count	mondo_icd10_count	exact_ordo_links	ordo_icd10_count	ordo_predicates	no_mapping_found
Combined_Oxidative_Phosphorylation_Defect_Type_21	Combined Oxidative Phosphorylation Defect Type 21	MONDO:0014398	1	ALL_MAPPINGS_CONSISTENT	ICD10:E88.8	0	0	ORDO:420733	1	skos:broadMatch	0
Combined_Oxidative_Phosphorylation_Defect_Type_26	Combined Oxidative Phosphorylation Defect Type 26	MONDO:0014684	1	ALL_MAPPINGS_CONSISTENT	ICD10:E88.8	0	0	ORDO:477684	1	skos:broadMatch	0
Combined_Oxidative_Phosphorylation_Defect_Type_30	Combined Oxidative Phosphorylation Defect Type 30	MONDO:0014856	1	ALL_MAPPINGS_CONSISTENT	ICD10:E88.8	0	0	ORDO:478042	1	skos:broadMatch	0
Combined_Oxidative_Phosphorylation_Defect_Type_4	Combined Oxidative Phosphorylation Defect Type 4	MONDO:0012534	1	ALL_MAPPINGS_CONSISTENT	ICD10:E88.8	0	0	ORDO:254925	1	skos:broadMatch	0
Combined_Oxidative_Phosphorylation_Defect_Type_7	Combined Oxidative Phosphorylation Defect Type 7	MONDO:0013306	1	ALL_MAPPINGS_CONSISTENT	ICD10:E88.8	0	0	ORDO:254930	1	skos:broadMatch	0
Combined_Oxidative_Phosphorylation_Deficiency_42	Combined oxidative phosphorylation deficiency 42	MONDO:0030008	1	ALL_MAPPINGS_CONSISTENT		0	0		0		1
Combined_Oxidative_Phosphorylation_Deficiency_51	Combined Oxidative Phosphorylation Deficiency 51	MONDO:0033631	1	ALL_MAPPINGS_CONSISTENT		0	0		0		1
Combined_Pituitary_Hormone_Deficiencies_Genetic_Form	Combined Pituitary Hormone Deficiencies, Genetic Form	MONDO:0018762	1	ALL_MAPPINGS_CONSISTENT		0	0	ORDO:467	0		1
Combined_Saposin_Deficiency	Combined Saposin Deficiency	MONDO:0012719	1	ALL_MAPPINGS_CONSISTENT	ICD10:E75.2	0	0	ORDO:139406	1	skos:broadMatch	0
Complement_Component_2_Deficiency	Complement Component 2 Deficiency	MONDO:0009006	1	ALL_MAPPINGS_CONSISTENT		0	0		0		1
Complex_Hereditary_Spastic_Paraplegia	Complex Hereditary Spastic Paraplegia	MONDO:0015150	1	ALL_MAPPINGS_CONSISTENT		0	0	ORDO:102013	0		1
