gene_symbol	g2p_row_count	actionable_row_count	highest_curation_priority	worst_row_status	primary_curation_action	top_curation_note	direct_dismech_match_count	g2p_mondo_collision_count	direct_section_pmid_overlap_count	direct_section_pmid_missing_count	root_match_count	root_match_pmid_gap_count	split_across_dismech_count	embedded_not_rooted_count	underrepresented_in_dismech_count	no_dismech_match_count
DPH5	1	1	CRITICAL	NO_DISMECH_MATCH	ADD_FIRST_GENE_DISEASE_ANCHOR	No dismech disease anchor currently represents this G2P row.	0	0	0	1	0	0	0	0	0	1
DPYD	1	1	CRITICAL	NO_DISMECH_MATCH	ADD_FIRST_GENE_DISEASE_ANCHOR	No dismech disease anchor currently represents this G2P row.	0	0	0	0	0	0	0	0	0	1
DPYSL5	1	1	CRITICAL	NO_DISMECH_MATCH	ADD_FIRST_GENE_DISEASE_ANCHOR	No dismech disease anchor currently represents this G2P row.	0	0	0	1	0	0	0	0	0	1
DRAM2	1	1	CRITICAL	NO_DISMECH_MATCH	ADD_FIRST_GENE_DISEASE_ANCHOR	No dismech disease anchor currently represents this G2P row.	0	0	0	2	0	0	0	0	0	1
DRC1	1	1	CRITICAL	NO_DISMECH_MATCH	ADD_FIRST_GENE_DISEASE_ANCHOR	No dismech disease anchor currently represents this G2P row.	0	0	0	1	0	0	0	0	0	1
DRC2	1	1	CRITICAL	NO_DISMECH_MATCH	ADD_FIRST_GENE_DISEASE_ANCHOR	No dismech disease anchor currently represents this G2P row.	0	0	0	2	0	0	0	0	0	1
DRC4	1	1	CRITICAL	NO_DISMECH_MATCH	ADD_FIRST_GENE_DISEASE_ANCHOR	No dismech disease anchor currently represents this G2P row.	0	0	0	1	0	0	0	0	0	1
DRG1	1	1	CRITICAL	NO_DISMECH_MATCH	ADD_FIRST_GENE_DISEASE_ANCHOR	No dismech disease anchor currently represents this G2P row.	0	0	0	1	0	0	0	0	0	1
DSC3	1	1	CRITICAL	NO_DISMECH_MATCH	ADD_FIRST_GENE_DISEASE_ANCHOR	No dismech disease anchor currently represents this G2P row.	0	0	0	2	0	0	0	0	0	1
DSCAML1	1	1	CRITICAL	NO_DISMECH_MATCH	ADD_FIRST_GENE_DISEASE_ANCHOR	No dismech disease anchor currently represents this G2P row.	0	0	0	1	0	0	0	0	0	1
DSE	1	1	CRITICAL	NO_DISMECH_MATCH	ADD_FIRST_GENE_DISEASE_ANCHOR	No dismech disease anchor currently represents this G2P row.	0	0	0	1	0	0	0	0	0	1
DSG3	1	1	CRITICAL	NO_DISMECH_MATCH	ADD_FIRST_GENE_DISEASE_ANCHOR	No dismech disease anchor currently represents this G2P row.	0	0	0	1	0	0	0	0	0	1
DSG4	1	1	CRITICAL	NO_DISMECH_MATCH	ADD_FIRST_GENE_DISEASE_ANCHOR	No dismech disease anchor currently represents this G2P row.	0	0	0	2	0	0	0	0	0	1
DTHD1	1	1	CRITICAL	NO_DISMECH_MATCH	ADD_FIRST_GENE_DISEASE_ANCHOR	No dismech disease anchor currently represents this G2P row.	0	0	0	1	0	0	0	0	0	1
DTNA	1	1	CRITICAL	NO_DISMECH_MATCH	ADD_FIRST_GENE_DISEASE_ANCHOR	No dismech disease anchor currently represents this G2P row.	0	0	0	1	0	0	0	0	0	1
DVL1	1	1	CRITICAL	NO_DISMECH_MATCH	ADD_FIRST_GENE_DISEASE_ANCHOR	No dismech disease anchor currently represents this G2P row.	0	0	0	1	0	0	0	0	0	1
DVL3	1	1	CRITICAL	NO_DISMECH_MATCH	ADD_FIRST_GENE_DISEASE_ANCHOR	No dismech disease anchor currently represents this G2P row.	0	0	0	1	0	0	0	0	0	1
DYM	1	1	CRITICAL	NO_DISMECH_MATCH	ADD_FIRST_GENE_DISEASE_ANCHOR	No dismech disease anchor currently represents this G2P row.	0	0	0	4	0	0	0	0	0	1
DYNC1I2	1	1	CRITICAL	NO_DISMECH_MATCH	ADD_FIRST_GENE_DISEASE_ANCHOR	No dismech disease anchor currently represents this G2P row.	0	0	0	1	0	0	0	0	0	1
DYNC2H1	1	1	CRITICAL	NO_DISMECH_MATCH	ADD_FIRST_GENE_DISEASE_ANCHOR	No dismech disease anchor currently represents this G2P row.	0	0	0	2	0	0	0	0	0	1
DYNC2I1	1	1	CRITICAL	NO_DISMECH_MATCH	ADD_FIRST_GENE_DISEASE_ANCHOR	No dismech disease anchor currently represents this G2P row.	0	0	0	1	0	0	0	0	0	1
DYNC2I2	1	1	CRITICAL	NO_DISMECH_MATCH	ADD_FIRST_GENE_DISEASE_ANCHOR	No dismech disease anchor currently represents this G2P row.	0	0	0	1	0	0	0	0	0	1
DYNC2LI1	1	1	CRITICAL	NO_DISMECH_MATCH	ADD_FIRST_GENE_DISEASE_ANCHOR	No dismech disease anchor currently represents this G2P row.	0	0	0	4	0	0	0	0	0	1
EBF3	1	1	CRITICAL	NO_DISMECH_MATCH	ADD_FIRST_GENE_DISEASE_ANCHOR	No dismech disease anchor currently represents this G2P row.	0	0	0	11	0	0	0	0	0	1
EBP	1	1	CRITICAL	NO_DISMECH_MATCH	ADD_FIRST_GENE_DISEASE_ANCHOR	No dismech disease anchor currently represents this G2P row.	0	0	0	5	0	0	0	0	0	1
ECHS1	1	1	CRITICAL	NO_DISMECH_MATCH	ADD_FIRST_GENE_DISEASE_ANCHOR	No dismech disease anchor currently represents this G2P row.	0	0	0	5	0	0	0	0	0	1
ECM1	1	1	CRITICAL	NO_DISMECH_MATCH	ADD_FIRST_GENE_DISEASE_ANCHOR	No dismech disease anchor currently represents this G2P row.	0	0	0	4	0	0	0	0	0	1
EDEM3	1	1	CRITICAL	NO_DISMECH_MATCH	ADD_FIRST_GENE_DISEASE_ANCHOR	No dismech disease anchor currently represents this G2P row.	0	0	0	1	0	0	0	0	0	1
EDNRA	1	1	CRITICAL	NO_DISMECH_MATCH	ADD_FIRST_GENE_DISEASE_ANCHOR	No dismech disease anchor currently represents this G2P row.	0	0	0	1	0	0	0	0	0	1
EED	1	1	CRITICAL	NO_DISMECH_MATCH	ADD_FIRST_GENE_DISEASE_ANCHOR	No dismech disease anchor currently represents this G2P row.	0	0	0	4	0	0	0	0	0	1
EEF1A2	1	1	CRITICAL	NO_DISMECH_MATCH	ADD_FIRST_GENE_DISEASE_ANCHOR	No dismech disease anchor currently represents this G2P row.	0	0	0	2	0	0	0	0	0	1
EEF1B2	1	1	CRITICAL	NO_DISMECH_MATCH	ADD_FIRST_GENE_DISEASE_ANCHOR	No dismech disease anchor currently represents this G2P row.	0	0	0	1	0	0	0	0	0	1
EEF2	1	1	CRITICAL	NO_DISMECH_MATCH	ADD_FIRST_GENE_DISEASE_ANCHOR	No dismech disease anchor currently represents this G2P row.	0	0	0	5	0	0	0	0	0	1
EFEMP1	1	1	CRITICAL	NO_DISMECH_MATCH	ADD_FIRST_GENE_DISEASE_ANCHOR	No dismech disease anchor currently represents this G2P row.	0	0	0	5	0	0	0	0	0	1
EFEMP2	1	1	CRITICAL	NO_DISMECH_MATCH	ADD_FIRST_GENE_DISEASE_ANCHOR	No dismech disease anchor currently represents this G2P row.	0	0	0	9	0	0	0	0	0	1
EFL1	1	1	CRITICAL	NO_DISMECH_MATCH	ADD_FIRST_GENE_DISEASE_ANCHOR	No dismech disease anchor currently represents this G2P row.	0	0	0	3	0	0	0	0	0	1
EFNB1	1	1	CRITICAL	NO_DISMECH_MATCH	ADD_FIRST_GENE_DISEASE_ANCHOR	No dismech disease anchor currently represents this G2P row.	0	0	0	3	0	0	0	0	0	1
EFTUD2	1	1	CRITICAL	NO_DISMECH_MATCH	ADD_FIRST_GENE_DISEASE_ANCHOR	No dismech disease anchor currently represents this G2P row.	0	0	0	22	0	0	0	0	0	1
EIF2AK1	1	1	CRITICAL	NO_DISMECH_MATCH	ADD_FIRST_GENE_DISEASE_ANCHOR	No dismech disease anchor currently represents this G2P row.	0	0	0	1	0	0	0	0	0	1
EIF2AK2	1	1	CRITICAL	NO_DISMECH_MATCH	ADD_FIRST_GENE_DISEASE_ANCHOR	No dismech disease anchor currently represents this G2P row.	0	0	0	1	0	0	0	0	0	1
EIF2B2	1	1	CRITICAL	NO_DISMECH_MATCH	ADD_FIRST_GENE_DISEASE_ANCHOR	No dismech disease anchor currently represents this G2P row.	0	0	0	3	0	0	0	0	0	1
EIF2B4	1	1	CRITICAL	NO_DISMECH_MATCH	ADD_FIRST_GENE_DISEASE_ANCHOR	No dismech disease anchor currently represents this G2P row.	0	0	0	6	0	0	0	0	0	1
EIF2B5	1	1	CRITICAL	NO_DISMECH_MATCH	ADD_FIRST_GENE_DISEASE_ANCHOR	No dismech disease anchor currently represents this G2P row.	0	0	0	7	0	0	0	0	0	1
EIF2S3	1	1	CRITICAL	NO_DISMECH_MATCH	ADD_FIRST_GENE_DISEASE_ANCHOR	No dismech disease anchor currently represents this G2P row.	0	0	0	2	0	0	0	0	0	1
EIF3A	1	1	CRITICAL	NO_DISMECH_MATCH	ADD_FIRST_GENE_DISEASE_ANCHOR	No dismech disease anchor currently represents this G2P row.	0	0	0	1	0	0	0	0	0	1
EIF3B	1	1	CRITICAL	NO_DISMECH_MATCH	ADD_FIRST_GENE_DISEASE_ANCHOR	No dismech disease anchor currently represents this G2P row.	0	0	0	1	0	0	0	0	0	1
EIF3F	1	1	CRITICAL	NO_DISMECH_MATCH	ADD_FIRST_GENE_DISEASE_ANCHOR	No dismech disease anchor currently represents this G2P row.	0	0	0	1	0	0	0	0	0	1
EIF4A3	1	1	CRITICAL	NO_DISMECH_MATCH	ADD_FIRST_GENE_DISEASE_ANCHOR	No dismech disease anchor currently represents this G2P row.	0	0	0	1	0	0	0	0	0	1
EIF5A	1	1	CRITICAL	NO_DISMECH_MATCH	ADD_FIRST_GENE_DISEASE_ANCHOR	No dismech disease anchor currently represents this G2P row.	0	0	0	1	0	0	0	0	0	1
ELAC2	1	1	CRITICAL	NO_DISMECH_MATCH	ADD_FIRST_GENE_DISEASE_ANCHOR	No dismech disease anchor currently represents this G2P row.	0	0	0	2	0	0	0	0	0	1
ELANE	1	1	CRITICAL	NO_DISMECH_MATCH	ADD_FIRST_GENE_DISEASE_ANCHOR	No dismech disease anchor currently represents this G2P row.	0	0	0	1	0	0	0	0	0	1
ELFN1	1	1	CRITICAL	NO_DISMECH_MATCH	ADD_FIRST_GENE_DISEASE_ANCHOR	No dismech disease anchor currently represents this G2P row.	0	0	0	2	0	0	0	0	0	1
ELMO2	1	1	CRITICAL	NO_DISMECH_MATCH	ADD_FIRST_GENE_DISEASE_ANCHOR	No dismech disease anchor currently represents this G2P row.	0	0	0	1	0	0	0	0	0	1
ELN	1	1	CRITICAL	NO_DISMECH_MATCH	ADD_FIRST_GENE_DISEASE_ANCHOR	No dismech disease anchor currently represents this G2P row.	0	0	0	11	0	0	0	0	0	1
ELP1	1	1	CRITICAL	NO_DISMECH_MATCH	ADD_FIRST_GENE_DISEASE_ANCHOR	No dismech disease anchor currently represents this G2P row.	0	0	0	2	0	0	0	0	0	1
ELP2	1	1	CRITICAL	NO_DISMECH_MATCH	ADD_FIRST_GENE_DISEASE_ANCHOR	No dismech disease anchor currently represents this G2P row.	0	0	0	1	0	0	0	0	0	1
ELP4	1	1	CRITICAL	NO_DISMECH_MATCH	ADD_FIRST_GENE_DISEASE_ANCHOR	No dismech disease anchor currently represents this G2P row.	0	0	0	4	0	0	0	0	0	1
EMC10	1	1	CRITICAL	NO_DISMECH_MATCH	ADD_FIRST_GENE_DISEASE_ANCHOR	No dismech disease anchor currently represents this G2P row.	0	0	0	4	0	0	0	0	0	1
EMG1	1	1	CRITICAL	NO_DISMECH_MATCH	ADD_FIRST_GENE_DISEASE_ANCHOR	No dismech disease anchor currently represents this G2P row.	0	0	0	4	0	0	0	0	0	1
EMX2	1	1	CRITICAL	NO_DISMECH_MATCH	ADD_FIRST_GENE_DISEASE_ANCHOR	No dismech disease anchor currently represents this G2P row.	0	0	0	2	0	0	0	0	0	1
ENTPD1	1	1	CRITICAL	NO_DISMECH_MATCH	ADD_FIRST_GENE_DISEASE_ANCHOR	No dismech disease anchor currently represents this G2P row.	0	0	0	1	0	0	0	0	0	1
EOGT	1	1	CRITICAL	NO_DISMECH_MATCH	ADD_FIRST_GENE_DISEASE_ANCHOR	No dismech disease anchor currently represents this G2P row.	0	0	0	1	0	0	0	0	0	1
EOMES	1	1	CRITICAL	NO_DISMECH_MATCH	ADD_FIRST_GENE_DISEASE_ANCHOR	No dismech disease anchor currently represents this G2P row.	0	0	0	1	0	0	0	0	0	1
EPB41L1	1	1	CRITICAL	NO_DISMECH_MATCH	ADD_FIRST_GENE_DISEASE_ANCHOR	No dismech disease anchor currently represents this G2P row.	0	0	0	1	0	0	0	0	0	1
EPB41L3	1	1	CRITICAL	NO_DISMECH_MATCH	ADD_FIRST_GENE_DISEASE_ANCHOR	No dismech disease anchor currently represents this G2P row.	0	0	0	1	0	0	0	0	0	1
EPG5	1	1	CRITICAL	NO_DISMECH_MATCH	ADD_FIRST_GENE_DISEASE_ANCHOR	No dismech disease anchor currently represents this G2P row.	0	0	0	8	0	0	0	0	0	1
EPHA2	1	1	CRITICAL	NO_DISMECH_MATCH	ADD_FIRST_GENE_DISEASE_ANCHOR	No dismech disease anchor currently represents this G2P row.	0	0	0	6	0	0	0	0	0	1
EPHB4	1	1	CRITICAL	NO_DISMECH_MATCH	ADD_FIRST_GENE_DISEASE_ANCHOR	No dismech disease anchor currently represents this G2P row.	0	0	0	2	0	0	0	0	0	1
EPRS1	1	1	CRITICAL	NO_DISMECH_MATCH	ADD_FIRST_GENE_DISEASE_ANCHOR	No dismech disease anchor currently represents this G2P row.	0	0	0	1	0	0	0	0	0	1
EPS8L3	1	1	CRITICAL	NO_DISMECH_MATCH	ADD_FIRST_GENE_DISEASE_ANCHOR	No dismech disease anchor currently represents this G2P row.	0	0	0	1	0	0	0	0	0	1
ERCC1	1	1	CRITICAL	NO_DISMECH_MATCH	ADD_FIRST_GENE_DISEASE_ANCHOR	No dismech disease anchor currently represents this G2P row.	0	0	0	2	0	0	0	0	0	1
ERCC5	1	1	CRITICAL	NO_DISMECH_MATCH	ADD_FIRST_GENE_DISEASE_ANCHOR	No dismech disease anchor currently represents this G2P row.	0	0	0	9	0	0	0	0	0	1
ERCC6L2	1	1	CRITICAL	NO_DISMECH_MATCH	ADD_FIRST_GENE_DISEASE_ANCHOR	No dismech disease anchor currently represents this G2P row.	0	0	0	8	0	0	0	0	0	1
ERLIN2	1	1	CRITICAL	NO_DISMECH_MATCH	ADD_FIRST_GENE_DISEASE_ANCHOR	No dismech disease anchor currently represents this G2P row.	0	0	0	1	0	0	0	0	0	1
ERMARD	1	1	CRITICAL	NO_DISMECH_MATCH	ADD_FIRST_GENE_DISEASE_ANCHOR	No dismech disease anchor currently represents this G2P row.	0	0	0	1	0	0	0	0	0	1
ESAM	1	1	CRITICAL	NO_DISMECH_MATCH	ADD_FIRST_GENE_DISEASE_ANCHOR	No dismech disease anchor currently represents this G2P row.	0	0	0	1	0	0	0	0	0	1
ESCO2	1	1	CRITICAL	NO_DISMECH_MATCH	ADD_FIRST_GENE_DISEASE_ANCHOR	No dismech disease anchor currently represents this G2P row.	0	0	0	3	0	0	0	0	0	1
ESRRB	1	1	CRITICAL	NO_DISMECH_MATCH	ADD_FIRST_GENE_DISEASE_ANCHOR	No dismech disease anchor currently represents this G2P row.	0	0	0	2	0	0	0	0	0	1
ETHE1	1	1	CRITICAL	NO_DISMECH_MATCH	ADD_FIRST_GENE_DISEASE_ANCHOR	No dismech disease anchor currently represents this G2P row.	0	0	0	3	0	0	0	0	0	1
EVC	1	1	CRITICAL	NO_DISMECH_MATCH	ADD_FIRST_GENE_DISEASE_ANCHOR	No dismech disease anchor currently represents this G2P row.	0	0	0	7	0	0	0	0	0	1
EVC2	1	1	CRITICAL	NO_DISMECH_MATCH	ADD_FIRST_GENE_DISEASE_ANCHOR	No dismech disease anchor currently represents this G2P row.	0	0	0	1	0	0	0	0	0	1
EXOSC2	1	1	CRITICAL	NO_DISMECH_MATCH	ADD_FIRST_GENE_DISEASE_ANCHOR	No dismech disease anchor currently represents this G2P row.	0	0	0	2	0	0	0	0	0	1
EXOSC3	1	1	CRITICAL	NO_DISMECH_MATCH	ADD_FIRST_GENE_DISEASE_ANCHOR	No dismech disease anchor currently represents this G2P row.	0	0	0	1	0	0	0	0	0	1
EXOSC8	1	1	CRITICAL	NO_DISMECH_MATCH	ADD_FIRST_GENE_DISEASE_ANCHOR	No dismech disease anchor currently represents this G2P row.	0	0	0	3	0	0	0	0	0	1
EXOSC9	1	1	CRITICAL	NO_DISMECH_MATCH	ADD_FIRST_GENE_DISEASE_ANCHOR	No dismech disease anchor currently represents this G2P row.	0	0	0	1	0	0	0	0	0	1
EXT2	1	1	CRITICAL	NO_DISMECH_MATCH	ADD_FIRST_GENE_DISEASE_ANCHOR	No dismech disease anchor currently represents this G2P row.	0	0	0	1	0	0	0	0	0	1
EXTL3	1	1	CRITICAL	NO_DISMECH_MATCH	ADD_FIRST_GENE_DISEASE_ANCHOR	No dismech disease anchor currently represents this G2P row.	0	0	0	1	0	0	0	0	0	1
EYA1	1	1	CRITICAL	NO_DISMECH_MATCH	ADD_FIRST_GENE_DISEASE_ANCHOR	No dismech disease anchor currently represents this G2P row.	0	0	0	6	0	0	0	0	0	1
EYS	1	1	CRITICAL	NO_DISMECH_MATCH	ADD_FIRST_GENE_DISEASE_ANCHOR	No dismech disease anchor currently represents this G2P row.	0	0	0	8	0	0	0	0	0	1
F12	1	1	CRITICAL	NO_DISMECH_MATCH	ADD_FIRST_GENE_DISEASE_ANCHOR	No dismech disease anchor currently represents this G2P row.	0	0	0	2	0	0	0	0	0	1
FA2H	1	1	CRITICAL	NO_DISMECH_MATCH	ADD_FIRST_GENE_DISEASE_ANCHOR	No dismech disease anchor currently represents this G2P row.	0	0	0	0	0	0	0	0	0	1
FAM111A	1	1	CRITICAL	NO_DISMECH_MATCH	ADD_FIRST_GENE_DISEASE_ANCHOR	No dismech disease anchor currently represents this G2P row.	0	0	0	1	0	0	0	0	0	1
FAM111B	1	1	CRITICAL	NO_DISMECH_MATCH	ADD_FIRST_GENE_DISEASE_ANCHOR	No dismech disease anchor currently represents this G2P row.	0	0	0	2	0	0	0	0	0	1
FAM149B1	1	1	CRITICAL	NO_DISMECH_MATCH	ADD_FIRST_GENE_DISEASE_ANCHOR	No dismech disease anchor currently represents this G2P row.	0	0	0	1	0	0	0	0	0	1
FAM161A	1	1	CRITICAL	NO_DISMECH_MATCH	ADD_FIRST_GENE_DISEASE_ANCHOR	No dismech disease anchor currently represents this G2P row.	0	0	0	4	0	0	0	0	0	1
FAM177A1	1	1	CRITICAL	NO_DISMECH_MATCH	ADD_FIRST_GENE_DISEASE_ANCHOR	No dismech disease anchor currently represents this G2P row.	0	0	0	2	0	0	0	0	0	1
FAM20A	1	1	CRITICAL	NO_DISMECH_MATCH	ADD_FIRST_GENE_DISEASE_ANCHOR	No dismech disease anchor currently represents this G2P row.	0	0	0	16	0	0	0	0	0	1
FAM20C	1	1	CRITICAL	NO_DISMECH_MATCH	ADD_FIRST_GENE_DISEASE_ANCHOR	No dismech disease anchor currently represents this G2P row.	0	0	0	3	0	0	0	0	0	1
FAR1	1	1	CRITICAL	NO_DISMECH_MATCH	ADD_FIRST_GENE_DISEASE_ANCHOR	No dismech disease anchor currently represents this G2P row.	0	0	0	3	0	0	0	0	0	1
FARS2	1	1	CRITICAL	NO_DISMECH_MATCH	ADD_FIRST_GENE_DISEASE_ANCHOR	No dismech disease anchor currently represents this G2P row.	0	0	0	5	0	0	0	0	0	1
FASN	1	1	CRITICAL	NO_DISMECH_MATCH	ADD_FIRST_GENE_DISEASE_ANCHOR	No dismech disease anchor currently represents this G2P row.	0	0	0	1	0	0	0	0	0	1
FASTKD5	1	1	CRITICAL	NO_DISMECH_MATCH	ADD_FIRST_GENE_DISEASE_ANCHOR	No dismech disease anchor currently represents this G2P row.	0	0	0	1	0	0	0	0	0	1
FBLN1	1	1	CRITICAL	NO_DISMECH_MATCH	ADD_FIRST_GENE_DISEASE_ANCHOR	No dismech disease anchor currently represents this G2P row.	0	0	0	1	0	0	0	0	0	1
FBP1	1	1	CRITICAL	NO_DISMECH_MATCH	ADD_FIRST_GENE_DISEASE_ANCHOR	No dismech disease anchor currently represents this G2P row.	0	0	0	2	0	0	0	0	0	1
FBXL4	1	1	CRITICAL	NO_DISMECH_MATCH	ADD_FIRST_GENE_DISEASE_ANCHOR	No dismech disease anchor currently represents this G2P row.	0	0	0	1	0	0	0	0	0	1
FBXO11	1	1	CRITICAL	NO_DISMECH_MATCH	ADD_FIRST_GENE_DISEASE_ANCHOR	No dismech disease anchor currently represents this G2P row.	0	0	0	3	0	0	0	0	0	1
FBXO28	1	1	CRITICAL	NO_DISMECH_MATCH	ADD_FIRST_GENE_DISEASE_ANCHOR	No dismech disease anchor currently represents this G2P row.	0	0	0	3	0	0	0	0	0	1
FBXW11	1	1	CRITICAL	NO_DISMECH_MATCH	ADD_FIRST_GENE_DISEASE_ANCHOR	No dismech disease anchor currently represents this G2P row.	0	0	0	1	0	0	0	0	0	1
FBXW4	1	1	CRITICAL	NO_DISMECH_MATCH	ADD_FIRST_GENE_DISEASE_ANCHOR	No dismech disease anchor currently represents this G2P row.	0	0	0	6	0	0	0	0	0	1
FBXW7	1	1	CRITICAL	NO_DISMECH_MATCH	ADD_FIRST_GENE_DISEASE_ANCHOR	No dismech disease anchor currently represents this G2P row.	0	0	0	2	0	0	0	0	0	1
FCSK	1	1	CRITICAL	NO_DISMECH_MATCH	ADD_FIRST_GENE_DISEASE_ANCHOR	No dismech disease anchor currently represents this G2P row.	0	0	0	1	0	0	0	0	0	1
FDPS	1	1	CRITICAL	NO_DISMECH_MATCH	ADD_FIRST_GENE_DISEASE_ANCHOR	No dismech disease anchor currently represents this G2P row.	0	0	0	1	0	0	0	0	0	1
FDXR	1	1	CRITICAL	NO_DISMECH_MATCH	ADD_FIRST_GENE_DISEASE_ANCHOR	No dismech disease anchor currently represents this G2P row.	0	0	0	4	0	0	0	0	0	1
FEM1B	1	1	CRITICAL	NO_DISMECH_MATCH	ADD_FIRST_GENE_DISEASE_ANCHOR	No dismech disease anchor currently represents this G2P row.	0	0	0	2	0	0	0	0	0	1
FEM1C	1	1	CRITICAL	NO_DISMECH_MATCH	ADD_FIRST_GENE_DISEASE_ANCHOR	No dismech disease anchor currently represents this G2P row.	0	0	0	1	0	0	0	0	0	1
FEZF1	1	1	CRITICAL	NO_DISMECH_MATCH	ADD_FIRST_GENE_DISEASE_ANCHOR	No dismech disease anchor currently represents this G2P row.	0	0	0	1	0	0	0	0	0	1
FEZF2	1	1	CRITICAL	NO_DISMECH_MATCH	ADD_FIRST_GENE_DISEASE_ANCHOR	No dismech disease anchor currently represents this G2P row.	0	0	0	1	0	0	0	0	0	1
FGD1	1	1	CRITICAL	NO_DISMECH_MATCH	ADD_FIRST_GENE_DISEASE_ANCHOR	No dismech disease anchor currently represents this G2P row.	0	0	0	11	0	0	0	0	0	1
FGF10	1	1	CRITICAL	NO_DISMECH_MATCH	ADD_FIRST_GENE_DISEASE_ANCHOR	No dismech disease anchor currently represents this G2P row.	0	0	0	2	0	0	0	0	0	1
FGF12	1	1	CRITICAL	NO_DISMECH_MATCH	ADD_FIRST_GENE_DISEASE_ANCHOR	No dismech disease anchor currently represents this G2P row.	0	0	0	3	0	0	0	0	0	1
FGF14	1	1	CRITICAL	NO_DISMECH_MATCH	ADD_FIRST_GENE_DISEASE_ANCHOR	No dismech disease anchor currently represents this G2P row.	0	0	0	3	0	0	0	0	0	1
FGF3	1	1	CRITICAL	NO_DISMECH_MATCH	ADD_FIRST_GENE_DISEASE_ANCHOR	No dismech disease anchor currently represents this G2P row.	0	0	0	4	0	0	0	0	0	1
FGF9	1	1	CRITICAL	NO_DISMECH_MATCH	ADD_FIRST_GENE_DISEASE_ANCHOR	No dismech disease anchor currently represents this G2P row.	0	0	0	1	0	0	0	0	0	1
FHL1	1	1	CRITICAL	NO_DISMECH_MATCH	ADD_FIRST_GENE_DISEASE_ANCHOR	No dismech disease anchor currently represents this G2P row.	0	0	0	8	0	0	0	0	0	1
FIBP	1	1	CRITICAL	NO_DISMECH_MATCH	ADD_FIRST_GENE_DISEASE_ANCHOR	No dismech disease anchor currently represents this G2P row.	0	0	0	6	0	0	0	0	0	1
FICD	1	1	CRITICAL	NO_DISMECH_MATCH	ADD_FIRST_GENE_DISEASE_ANCHOR	No dismech disease anchor currently represents this G2P row.	0	0	0	1	0	0	0	0	0	1
FIG4	1	1	CRITICAL	NO_DISMECH_MATCH	ADD_FIRST_GENE_DISEASE_ANCHOR	No dismech disease anchor currently represents this G2P row.	0	0	0	6	0	0	0	0	0	1
FILIP1	1	1	CRITICAL	NO_DISMECH_MATCH	ADD_FIRST_GENE_DISEASE_ANCHOR	No dismech disease anchor currently represents this G2P row.	0	0	0	1	0	0	0	0	0	1
FKBP10	1	1	CRITICAL	NO_DISMECH_MATCH	ADD_FIRST_GENE_DISEASE_ANCHOR	No dismech disease anchor currently represents this G2P row.	0	0	0	4	0	0	0	0	0	1
FKBP14	1	1	CRITICAL	NO_DISMECH_MATCH	ADD_FIRST_GENE_DISEASE_ANCHOR	No dismech disease anchor currently represents this G2P row.	0	0	0	2	0	0	0	0	0	1
FKBP15	1	1	CRITICAL	NO_DISMECH_MATCH	ADD_FIRST_GENE_DISEASE_ANCHOR	No dismech disease anchor currently represents this G2P row.	0	0	0	2	0	0	0	0	0	1
FLAD1	1	1	CRITICAL	NO_DISMECH_MATCH	ADD_FIRST_GENE_DISEASE_ANCHOR	No dismech disease anchor currently represents this G2P row.	0	0	0	1	0	0	0	0	0	1
FLCN	1	1	CRITICAL	NO_DISMECH_MATCH	ADD_FIRST_GENE_DISEASE_ANCHOR	No dismech disease anchor currently represents this G2P row.	0	0	0	8	0	0	0	0	0	1
FLG2	1	1	CRITICAL	NO_DISMECH_MATCH	ADD_FIRST_GENE_DISEASE_ANCHOR	No dismech disease anchor currently represents this G2P row.	0	0	0	1	0	0	0	0	0	1
FLVCR1	1	1	CRITICAL	NO_DISMECH_MATCH	ADD_FIRST_GENE_DISEASE_ANCHOR	No dismech disease anchor currently represents this G2P row.	0	0	0	7	0	0	0	0	0	1
FLVCR2	1	1	CRITICAL	NO_DISMECH_MATCH	ADD_FIRST_GENE_DISEASE_ANCHOR	No dismech disease anchor currently represents this G2P row.	0	0	0	4	0	0	0	0	0	1
FMN2	1	1	CRITICAL	NO_DISMECH_MATCH	ADD_FIRST_GENE_DISEASE_ANCHOR	No dismech disease anchor currently represents this G2P row.	0	0	0	1	0	0	0	0	0	1
FN1	1	1	CRITICAL	NO_DISMECH_MATCH	ADD_FIRST_GENE_DISEASE_ANCHOR	No dismech disease anchor currently represents this G2P row.	0	0	0	1	0	0	0	0	0	1
FNBP4	1	1	CRITICAL	NO_DISMECH_MATCH	ADD_FIRST_GENE_DISEASE_ANCHOR	No dismech disease anchor currently represents this G2P row.	0	0	0	1	0	0	0	0	0	1
FOLR1	1	1	CRITICAL	NO_DISMECH_MATCH	ADD_FIRST_GENE_DISEASE_ANCHOR	No dismech disease anchor currently represents this G2P row.	0	0	0	2	0	0	0	0	0	1
FOSL2	1	1	CRITICAL	NO_DISMECH_MATCH	ADD_FIRST_GENE_DISEASE_ANCHOR	No dismech disease anchor currently represents this G2P row.	0	0	0	1	0	0	0	0	0	1
FOXC2	1	1	CRITICAL	NO_DISMECH_MATCH	ADD_FIRST_GENE_DISEASE_ANCHOR	No dismech disease anchor currently represents this G2P row.	0	0	0	9	0	0	0	0	0	1
