slug	route	subject	predicate	source_target	target	source	fact_type	sub	object	prior	status	reason
IGF1_Deficiency	ordo	ORDO:73272	skos:broadMatch	ICD-10:E34.3	ICD10:E34.3	ordo.db	ProperSubClassOf	ORDO:73272	ICD10:E34.3	0.9	INCLUDED	NA
IKK2_Deficiency	ordo	ORDO:397787	skos:broadMatch	ICD-10:D81.2	ICD10:D81.2	ordo.db	ProperSubClassOf	ORDO:397787	ICD10:D81.2	0.9	INCLUDED	NA
IL21R_Deficiency	ordo	ORDO:357329	skos:broadMatch	ICD-10:D81.8	ICD10:D81.8	ordo.db	ProperSubClassOf	ORDO:357329	ICD10:D81.8	0.9	INCLUDED	NA
IMAGe_Syndrome	ordo	ORDO:85173	skos:broadMatch	ICD-10:Q87.1	ICD10:Q87.1	ordo.db	ProperSubClassOf	ORDO:85173	ICD10:Q87.1	0.9	INCLUDED	NA
IPEX_Syndrome	ordo	ORDO:37042	skos:broadMatch	ICD-10:E31.0	ICD10:E31.0	ordo.db	ProperSubClassOf	ORDO:37042	ICD10:E31.0	0.9	INCLUDED	NA
IRF1_Deficiency	ordo	ORDO:699615	skos:broadMatch	ICD-10:D84.8	ICD10:D84.8	ordo.db	ProperSubClassOf	ORDO:699615	ICD10:D84.8	0.9	INCLUDED	NA
IRF2BPL-Related_Neurodevelopmental_Disorder_with_Regression	ordo	ORDO:597623	skos:broadMatch	ICD-10:G93.8	ICD10:G93.8	ordo.db	ProperSubClassOf	ORDO:597623	ICD10:G93.8	0.9	INCLUDED	NA
IRIDA_Syndrome	ordo	ORDO:209981	skos:broadMatch	ICD-10:D50.8	ICD10:D50.8	ordo.db	ProperSubClassOf	ORDO:209981	ICD10:D50.8	0.9	INCLUDED	NA
IRX5-related_Craniofacial_Dysostosis_with_Osteopenia_Intellectual_Disability_and_Dental_Anomalies	ordo	ORDO:314555	skos:broadMatch	ICD-10:Q87.5	ICD10:Q87.5	ordo.db	ProperSubClassOf	ORDO:314555	ICD10:Q87.5	0.9	INCLUDED	NA
Immunodeficiency_32B	ordo	ORDO:2566	skos:broadMatch	ICD-10:B27.0	ICD10:B27.0	ordo.db	ProperSubClassOf	ORDO:2566	ICD10:B27.0	0.9	INCLUDED	NA
Immunodeficiency_64	ordo	ORDO:664699	skos:broadMatch	ICD-10:D82.3	ICD10:D82.3	ordo.db	ProperSubClassOf	ORDO:664699	ICD10:D82.3	0.9	INCLUDED	NA
Immunodeficiency_69	ordo	ORDO:699618	skos:broadMatch	ICD-10:D84.8	ICD10:D84.8	ordo.db	ProperSubClassOf	ORDO:699618	ICD10:D84.8	0.9	INCLUDED	NA
Immunodeficiency_92	ordo	ORDO:697394	skos:broadMatch	ICD-10:D81.8	ICD10:D81.8	ordo.db	ProperSubClassOf	ORDO:697394	ICD10:D81.8	0.9	INCLUDED	NA
Immunodeficiency_Centromeric_Instability_Facial_Anomalies_Syndrome	ordo	ORDO:2268	skos:broadMatch	ICD-10:D84.8	ICD10:D84.8	ordo.db	ProperSubClassOf	ORDO:2268	ICD10:D84.8	0.9	INCLUDED	NA
Inborn_Disorder_of_Bile_Acid_Synthesis	ordo	ORDO:79095	skos:broadMatch	ICD-10:K76.8	ICD10:K76.8	ordo.db	ProperSubClassOf	ORDO:79095	ICD10:K76.8	0.9	INCLUDED	NA
Inborn_Disorder_of_Bile_Acid_Synthesis	ordo	ORDO:79301	skos:broadMatch	ICD-10:K76.8	ICD10:K76.8	ordo.db	ProperSubClassOf	ORDO:79301	ICD10:K76.8	0.9	INCLUDED	NA
Inborn_Disorder_of_Bile_Acid_Synthesis	ordo	ORDO:79302	skos:broadMatch	ICD-10:K76.8	ICD10:K76.8	ordo.db	ProperSubClassOf	ORDO:79302	ICD10:K76.8	0.9	INCLUDED	NA
Inborn_Disorder_of_Bile_Acid_Synthesis	ordo	ORDO:79303	skos:broadMatch	ICD-10:K76.8	ICD10:K76.8	ordo.db	ProperSubClassOf	ORDO:79303	ICD10:K76.8	0.9	INCLUDED	NA
Inborn_Disorder_of_Bile_Acid_Synthesis	ordo	ORDO:909	skos:broadMatch	ICD-10:E75.5	ICD10:E75.5	ordo.db	ProperSubClassOf	ORDO:909	ICD10:E75.5	0.9	INCLUDED	NA
Inborn_Disorder_of_Methionine_Cycle_and_Sulfur_Amino_Acid_Metabolism	ordo	ORDO:168598	skos:broadMatch	ICD-10:E72.1	ICD10:E72.1	ordo.db	ProperSubClassOf	ORDO:168598	ICD10:E72.1	0.9	INCLUDED	NA
