drug_id	drug_label	indication	disorder	mondo	status
NCIT:C1093	Etoposide Phosphate	Acute leukemia; Adrenal cortical cancer; Brain cancer; Chronic lymphocytic leukemia; Choriocarcinoma; Esophageal cancer; Ewings sarcoma; Gastric cancer; Germ cell cancer; Gestational trophoblastic neoplasms	EBV-Associated Gastric Cancer	MONDO:0001056	MISSING_TREATMENT
NCIT:C1093	Etoposide Phosphate	Acute leukemia; Adrenal cortical cancer; Brain cancer; Chronic lymphocytic leukemia; Choriocarcinoma; Esophageal cancer; Ewings sarcoma; Gastric cancer; Germ cell cancer; Gestational trophoblastic neoplasms	HER2-Positive Gastric Cancer	MONDO:0001056	MISSING_TREATMENT
NCIT:C1093	Etoposide Phosphate	Hepatocellular cancer; Hodgkins disease; Hypereosinophilic syndrome; Kaposis sarcoma; Testicular cancer; Thymoma; Thyroid cancer; Uterine cancer; Wilms tumor	Hypereosinophilic syndrome	MONDO:0015691	MISSING_TREATMENT
NCIT:C1093	Etoposide Phosphate	Hepatocellular cancer; Hodgkins disease; Hypereosinophilic syndrome; Kaposis sarcoma; Testicular cancer; Thymoma; Thyroid cancer; Uterine cancer; Wilms tumor	Thymoma	MONDO:0006456	MISSING_TREATMENT
NCIT:C1093	Etoposide Phosphate	Hepatocellular cancer; Hodgkins disease; Hypereosinophilic syndrome; Kaposis sarcoma; Testicular cancer; Thymoma; Thyroid cancer; Uterine cancer; Wilms tumor	Wilms Tumor	MONDO:0006058	MISSING_TREATMENT
NCIT:C1093	Etoposide Phosphate	Langerhans cell histiocytosis; Mobilization of peripheral-blood progenitor cells; Multiple myeloma; Neuroblastoma; Non-small lung cancer; Osteogenic sarcoma; Ovarian cancer; Retinoblastoma; Small cell lung cancer; Soft tissue sarcomas	Langerhans Cell Histiocytosis	MONDO:0018310	MISSING_TREATMENT
NCIT:C1093	Etoposide Phosphate	Langerhans cell histiocytosis; Mobilization of peripheral-blood progenitor cells; Multiple myeloma; Neuroblastoma; Non-small lung cancer; Osteogenic sarcoma; Ovarian cancer; Retinoblastoma; Small cell lung cancer; Soft tissue sarcomas	Multiple Myeloma	MONDO:0009693	MISSING_TREATMENT
NCIT:C1093	Etoposide Phosphate	Langerhans cell histiocytosis; Mobilization of peripheral-blood progenitor cells; Multiple myeloma; Neuroblastoma; Non-small lung cancer; Osteogenic sarcoma; Ovarian cancer; Retinoblastoma; Small cell lung cancer; Soft tissue sarcomas	Neuroblastoma	MONDO:0005072	COVERED
NCIT:C1093	Etoposide Phosphate	Langerhans cell histiocytosis; Mobilization of peripheral-blood progenitor cells; Multiple myeloma; Neuroblastoma; Non-small lung cancer; Osteogenic sarcoma; Ovarian cancer; Retinoblastoma; Small cell lung cancer; Soft tissue sarcomas	Retinoblastoma	MONDO:0008380	COVERED
NCIT:C1093	Etoposide Phosphate	Langerhans cell histiocytosis; Mobilization of peripheral-blood progenitor cells; Multiple myeloma; Neuroblastoma; Non-small lung cancer; Osteogenic sarcoma; Ovarian cancer; Retinoblastoma; Small cell lung cancer; Soft tissue sarcomas	Small Cell Lung Cancer	MONDO:0008433	MISSING_TREATMENT
NCIT:C1094	Fludarabine	Acute nonlymphocytic leukemia; Chronic lymphocytic leukemia; Indolent Non - Hodkins Lymphoma	Chronic Lymphocytic Leukemia	MONDO:0004948	MISSING_TREATMENT
NCIT:C1094	Fludarabine	Acute nonlymphocytic leukemia; Chronic lymphocytic leukemia; Indolent Non - Hodkins Lymphoma	Lymphoma	MONDO:0005062	MISSING_TREATMENT
NCIT:C1097	Exemestane	Estrogen Receptor-Positive Early Breast Cancer; early and advanced-stage breast cancer	-	-	NO_DISORDER
NCIT:C1102	Fludarabine Phosphate	Chronic Lymphocytic Leukemia	Chronic Lymphocytic Leukemia	MONDO:0004948	MISSING_TREATMENT
NCIT:C1105	Fosfestrol	Advanced Prostate Cancer; palliative treatment of breast cancer in postmenopausal women and in men	BRCA-Mutant Prostate Cancer	MONDO:0008315	MISSING_TREATMENT
NCIT:C1105	Fosfestrol	Advanced Prostate Cancer; palliative treatment of breast cancer in postmenopausal women and in men	Metastatic Prostate Cancer	MONDO:0008315	MISSING_TREATMENT
NCIT:C1108	Gabapentin	Management of Epilepsy; Pain; Mania; Depression and Anxiety Disorders; Postherpetic Neuralgia	Epilepsy	MONDO:0005027	MISSING_TREATMENT
NCIT:C111757	Mercaptopurine Oral Suspension	acute lymphoblastic leukemia (ALL)	Acute Lymphoblastic Leukemia	MONDO:0004967	MISSING_TREATMENT
NCIT:C1119	Ondansetron	Nausea and vomiting prophylaxis, chemotherapy-induced and postoperative	-	-	NO_DISORDER
NCIT:C1126	Haemophilus Influenzae B Vaccine	Haemophilus influenzae B prophylaxis	-	-	NO_DISORDER
NCIT:C11280	Fluorouracil-Uracil	None current	-	-	NO_DISORDER
NCIT:C1131	Tropisetron	Chemotherapy-induced nausea and vomiting	Chemotherapy-Induced Nausea and Vomiting		MISSING_TREATMENT
NCIT:C113164	Tisotumab Vedotin	adult patients with recurrent or metastatic cervical cancer.	Cervical Cancer	MONDO:0002974	MISSING_TREATMENT
NCIT:C113442	Acalabrutinib	adult patients with mantle cell lymphoma (MCL) who have received at least one prior therapy; with chronic lymphocytic leukemia (CLL) or small lymphocytic lymphoma (SLL)	Chronic Lymphocytic Leukemia	MONDO:0004948	COVERED
NCIT:C113442	Acalabrutinib	adult patients with mantle cell lymphoma (MCL) who have received at least one prior therapy; with chronic lymphocytic leukemia (CLL) or small lymphocytic lymphoma (SLL)	Lymphoma	MONDO:0005062	MISSING_TREATMENT
NCIT:C113442	Acalabrutinib	adult patients with mantle cell lymphoma (MCL) who have received at least one prior therapy; with chronic lymphocytic leukemia (CLL) or small lymphocytic lymphoma (SLL)	Mantle Cell Lymphoma	MONDO:0018876	COVERED
NCIT:C113655	Lorlatinib	anaplastic lymphoma kinase (ALK)-positive metastatic non-small cell lung cancer (NSCLC)	Lymphoma	MONDO:0005062	MISSING_TREATMENT
NCIT:C113655	Lorlatinib	anaplastic lymphoma kinase (ALK)-positive metastatic non-small cell lung cancer (NSCLC)	Metastatic Non-Small Cell Lung Cancer	MONDO:0005233	MISSING_TREATMENT
NCIT:C113655	Lorlatinib	anaplastic lymphoma kinase (ALK)-positive metastatic non-small cell lung cancer (NSCLC)	Non-Small Cell Lung Cancer	MONDO:0005233	MISSING_TREATMENT
NCIT:C113655	Lorlatinib	anaplastic lymphoma kinase (ALK)-positive metastatic non-small cell lung cancer (NSCLC)	Small Cell Lung Cancer	MONDO:0008433	MISSING_TREATMENT
NCIT:C1138	Itraconazole	Fungal Infections	-	-	NO_DISORDER
NCIT:C114283	Futibatinib	adult patients with previously treated, unresectable, locally advanced or metastatic intrahepatic cholangiocarcinoma harboring fibroblast growth factor receptor 2 (FGFR2) gene fusions or other rearrangements.	Cholangiocarcinoma	MONDO:0019087	MISSING_TREATMENT
