disorder	mondo_id	n_dismech	n_kg	exact	more_specific	more_general	unmatched	semantic_overlap	unmatched_terms
Cole-Carpenter_Syndrome	MONDO:0016085	11	51	10	0	1	0	11	
Collagenous_Sprue	MONDO:0044092	7	0	0	0	0	7	0	HP:0001824(Weight loss);HP:0001903(Anemia);HP:0002024(Malabsorption);HP:0002027(Abdominal pain);HP:0002028(Chronic diarrhea);HP:0002243(Protein-losing enteropathy);HP:0003073(Hypoalbuminemia)
Colon_Adenocarcinoma	MONDO:0002271	3	12	1	0	0	2	1	HP:0001903(Anemia);HP:0002573(Hematochezia)
Combined_Malonic_and_Methylmalonic_Aciduria	MONDO:0013661	3	27	3	0	0	0	3	
Combined_Pituitary_Hormone_Deficiencies_Genetic_Form	MONDO:0018762	14	503	11	2	1	0	14	
Combined_Saposin_Deficiency	MONDO:0012719	4	20	1	1	0	2	2	HP:0001873(Thrombocytopenia);HP:0002180(Neurodegeneration)
Common_Variable_Immunodeficiency	MONDO:0015517	12	141	10	0	0	2	10	HP:0002955(Granulomatosis);HP:0006530(Abnormal pulmonary interstitial morphology)
Complete_Androgen_Insensitivity_Syndrome	MONDO:0021023	25	25	25	0	0	0	25	
Complex_Hereditary_Spastic_Paraplegia	MONDO:0015150	10	550	9	1	0	0	10	
Conduct_Disorder	MONDO:0005352	7	0	0	0	0	7	0	HP:0000708(Atypical behavior);HP:0000718(Aggressive behavior);HP:0000737(Irritability);HP:0000864(Abnormality of the hypothalamus-pituitary axis);HP:0031466(Impairment in personality functioning);HP:0100543(Cognitive impairment);HP:0100710(Impulsivity)
Congenital_Adrenal_Hyperplasia	MONDO:0018479	10	220	7	2	0	1	9	HP:0005978(Type II diabetes mellitus)
Congenital_Dyserythropoietic_Anemia	MONDO:0019403	17	103	14	0	1	2	15	HP:0001978(Extramedullary hematopoiesis);HP:0012465(Elevated hepatic iron concentration)
Congenital_Epulis	MONDO:0015528	3	0	0	0	0	3	0	HP:0000168(Abnormality of the gingiva);HP:0002098(Respiratory distress);HP:0008872(Feeding difficulties in infancy)
Congenital_Hypofibrinogenemia	MONDO:0015096	5	4	1	2	0	2	3	HP:0001197(Abnormality of prenatal development or birth);HP:0011900(Hypofibrinogenemia)
Congenital_Hypothyroidism	MONDO:0018612	13	174	12	0	1	0	13	
Congenital_Insensitivity_to_Pain	MONDO:0015364	6	329	6	0	0	0	6	
Congenital_Isolated_Hyperinsulinism	MONDO:0019010	7	110	7	0	0	0	7	
Congenital_Lactase_Deficiency	MONDO:0009115	4	5	2	0	0	2	2	HP:0000121(Nephrocalcinosis);HP:0003072(Hypercalcemia)
Congenital_Myasthenic_Syndrome	MONDO:0018940	21	229	21	0	0	0	21	
Congenital_Pulmonary_Airway_Malformation	MONDO:0016580	6	5	0	5	0	1	5	HP:0001789(Hydrops fetalis)
Congenital_Renal_Artery_Stenosis	MONDO:0019993	4	0	0	0	0	4	0	HP:0000089(Renal hypoplasia);HP:0000822(Hypertension);HP:0001712(Left ventricular hypertrophy);HP:0001920(Renal artery stenosis)
Congenital_Sialidosis_Type_2	MONDO:0019682	3	42	2	1	0	0	3	
Congenital_Sucrase-Isomaltase_Deficiency	MONDO:0009114	11	18	9	1	0	1	10	HP:0004395(Malnutrition)
Congenital_Total_Pulmonary_Venous_Return_Anomaly	MONDO:0007130	12	41	11	0	1	0	12	
Congenital_Zika_Syndrome	MONDO:0000890	4	1	1	0	0	3	1	HP:0000238(Hydrocephalus);HP:0001339(Lissencephaly);HP:0002514(Cerebral calcification)
Congestive_Splenomegaly	MONDO:0037251	9	1	1	0	0	8	1	HP:0001873(Thrombocytopenia);HP:0001876(Pancytopenia);HP:0001882(Decreased total leukocyte count);HP:0001903(Anemia);HP:0002027(Abdominal pain);HP:0002239(Gastrointestinal hemorrhage);HP:0012378(Fatigue);HP:0033842(Early satiety)
Contact_Dermatitis	MONDO:0005480	4	0	0	0	0	4	0	HP:0000989(Pruritus);HP:0010783(Erythema);HP:0032282(Contact dermatitis);HP:0040189(Scaling skin)
Cor_Pulmonale	MONDO:0004596	7	18	4	0	0	3	4	HP:0012398(Peripheral edema);HP:0012416(Hypercapnia);HP:0012418(Hypoxemia)
Core_Binding_Factor_AML	MONDO:0015166	6	0	0	0	0	6	0	HP:0001873(Thrombocytopenia);HP:0001903(Anemia);HP:0001974(Increased total leukocyte count);HP:0002240(Hepatomegaly);HP:0002719(Recurrent infections);HP:0012378(Fatigue)
Cori_Forbes_Disease	MONDO:0009291	9	24	6	2	0	1	8	HP:0001508(Failure to thrive)
Cornelia_de_Lange_Syndrome	MONDO:0016033	34	238	34	0	0	0	34	
Coronary_Arterial_Fistulas	MONDO:0016081	8	27	3	1	1	3	5	HP:0001658(Myocardial infarction);HP:0011641(Coronary artery fistula);HP:0100749(Chest pain)
Coronary_Artery_Congenital_Malformation	MONDO:0015203	13	27	3	2	0	8	5	HP:0001653(Mitral regurgitation);HP:0005145(Coronary artery stenosis);HP:0011636(Abnormal coronary artery origin);HP:0011638(Anomalous origin of left coronary artery from the pulmonary artery);HP:0011641(Coronary artery fistula);HP:0011686(Abnormal coronary artery course);HP:0025503(Anomalous coronary artery arising from the opposite sinus);HP:0100749(Chest pain)
Coronary_Artery_Disease	MONDO:0021661	3	0	0	0	0	3	0	HP:0001658(Myocardial infarction);HP:0001681(Angina pectoris);HP:0002094(Dyspnea)
Coronary_Vasospasm	MONDO:0005356	7	0	0	0	0	7	0	HP:0001279(Syncope);HP:0001658(Myocardial infarction);HP:0001681(Angina pectoris);HP:0001695(Cardiac arrest);HP:0004308(Ventricular arrhythmia);HP:0012251(ST segment elevation);HP:0025637(Vasospasm)
Cortisone_Reductase_Deficiency	MONDO:0000193	16	22	14	1	0	1	15	HP:0000098(Tall stature)
Costello_Syndrome	MONDO:0009026	17	105	11	2	2	2	15	HP:0001290(Generalized hypotonia);HP:0002751(Kyphoscoliosis)
Cough_Variant_Asthma	MONDO:0001491	3	1	0	0	0	3	0	HP:0030828(Wheezing);HP:0031246(Nonproductive cough);HP:0034315(Chronic cough)
Cowden_Syndrome	MONDO:0016063	13	97	11	2	0	0	13	
Cranioectodermal_Dysplasia	MONDO:0009032	18	262	18	0	0	0	18	
Craniopharyngioma	MONDO:0018907	17	46	13	1	2	1	16	HP:0002354(Memory impairment)
Creatine_Transporter_Deficiency	MONDO:0010305	8	58	6	0	2	0	8	
Cri-du-Chat_Syndrome	MONDO:0007404	33	81	24	2	3	4	29	HP:0001272(Cerebellar atrophy);HP:0001273(Abnormal corpus callosum morphology);HP:0001320(Cerebellar vermis hypoplasia);HP:0012110(Hypoplasia of the pons)
Crohn_Disease	MONDO:0005011	26	4	2	0	0	24	2	HP:0000554(Uveitis);HP:0000787(Nephrolithiasis);HP:0000939(Osteoporosis);HP:0001369(Arthritis);HP:0001510(Growth delay);HP:0001824(Weight loss);HP:0001891(Iron deficiency anemia);HP:0001944(Dehydration);HP:0001945(Fever);HP:0002014(Diarrhea);HP:0002573(Hematochezia);HP:0004395(Malnutrition);HP:0004796(Gastrointestinal obstruction);HP:0009789(Perianal abscess);HP:0012122(Anterior uveitis);HP:0012219(Erythema nodosum);HP:0012378(Fatigue);HP:0012390(Anal fissure);HP:0012848(Small intestinal stenosis);HP:0025452(Pyoderma gangrenosum);HP:0030991(Sclerosing cholangitis);HP:0100534(Episcleritis);HP:0100819(Intestinal fistula);HP:4000055(Intestinal inflammation)
Cronkhite-Canada_syndrome	MONDO:0008283	6	49	5	1	0	0	6	
Crouzon_Syndrome	MONDO:0007405	12	50	11	0	0	1	11	HP:0000377(Abnormal pinna morphology)
Crouzon_Syndrome_with_Acanthosis_Nigricans	MONDO:0012833	5	31	5	0	0	0	5	
Cryoglobulinemic_Vasculitis	MONDO:0007407	9	35	4	2	0	3	6	HP:0012378(Fatigue);HP:0030880(Raynaud phenomenon);HP:0033505(Livedo reticularis)
Cushings_Syndrome	MONDO:0018912	7	126	7	0	0	0	7	
Cutaneous_Collagenous_Vasculopathy	MONDO:0017242	1	10	0	1	0	0	1	
Cutaneous_Larva_Migrans	MONDO:0018500	5	0	0	0	0	5	0	HP:0000989(Pruritus);HP:0001880(Increased total eosinophil count);HP:0008066(Abnormal blistering of the skin);HP:0010783(Erythema);HP:0100785(Insomnia)
Cutaneous_Squamous_Cell_Carcinoma	MONDO:0002529	4	0	0	0	0	4	0	HP:0006739(Squamous cell carcinoma of the skin);HP:0012531(Pain);HP:0025127(Actinic keratosis);HP:0200042(Skin ulcer)
Cyclosporiasis	MONDO:0005725	10	0	0	0	0	10	0	HP:0001082(Cholecystitis);HP:0001824(Weight loss);HP:0001945(Fever);HP:0002014(Diarrhea);HP:0002018(Nausea);HP:0002027(Abdominal pain);HP:0002039(Anorexia);HP:0003326(Myalgia);HP:0012378(Fatigue);HP:0033589(Flatulence)
Cystic_Echinococcosis	MONDO:0018408	1	42	1	0	0	0	1	
Cystic_Fibrosis	MONDO:0009061	25	69	16	1	2	6	19	HP:0000819(Diabetes mellitus);HP:0000823(Delayed puberty);HP:0002902(Hyponatremia);HP:0004322(Short stature);HP:0008222(Female infertility);HP:0031245(Productive cough)
Cystinosis	MONDO:0016239	57	127	57	0	0	0	57	
Cystinuria	MONDO:0009067	19	19	19	0	0	0	19	
Cytomegalovirus_Retinitis	MONDO:0000878	8	0	0	0	0	8	0	HP:0000505(Visual impairment);HP:0000541(Retinal detachment);HP:0000554(Uveitis);HP:0000575(Scotoma);HP:0000618(Blindness);HP:0030506(Yellow/white retinal lesion);HP:0032118(Retinitis);HP:0100832(Vitreous floaters)
D-2-Hydroxyglutaric_Aciduria	MONDO:0010924	13	34	8	1	2	2	11	HP:0002120(Cerebral cortical atrophy);HP:6001070(Subdural hygroma)
D-Bifunctional_Protein_Deficiency	MONDO:0009855	7	60	3	1	0	3	4	HP:0000648(Optic atrophy);HP:0001999(Abnormal facial shape);HP:0002415(Leukodystrophy)
DECR_Deficiency	MONDO:0014464	22	58	21	1	0	0	22	
DEPDC5-Related_Epilepsy	MONDO:0005384	6	109	5	0	0	1	5	HP:0033258(Sudden unexpected death in epilepsy)
DK1-congenital_disorder_of_glycosylation	MONDO:0012556	15	48	5	0	3	7	8	HP:0000083(Renal insufficiency);HP:0001762(Talipes equinovarus);HP:0001882(Decreased total leukocyte count);HP:0001935(Microcytic anemia);HP:0001999(Abnormal facial shape);HP:0003074(Hyperglycemia);HP:0010491(Digital constriction ring)
DNM1_Encephalopathy	MONDO:0014598	4	20	2	2	0	0	4	
DOORS_Syndrome	MONDO:0009079	11	113	8	1	0	2	9	HP:0008404(Nail dystrophy);HP:0200134(Epileptic encephalopathy)
DSP_Cardiomyopathy	MONDO:0011831	5	7	1	0	1	3	2	HP:0000982(Palmoplantar keratoderma);HP:0001644(Dilated cardiomyopathy);HP:0012819(Myocarditis)
DYRK1A_Syndrome	MONDO:0013578	22	168	20	2	0	0	22	
Dacryocystitis-Osteopoikilosis_Syndrome	MONDO:0008158	10	3	3	0	0	7	3	HP:0001386(Joint swelling);HP:0002829(Arthralgia);HP:0005679(Dupuytren contracture);HP:0007678(Lacrimal duct stenosis);HP:0009926(Epiphora);HP:0010562(Keloids);HP:0012276(Digital flexor tenosynovitis)
Danon_disease	MONDO:0010281	12	34	8	0	1	3	9	HP:0000556(Retinal dystrophy);HP:0001712(Left ventricular hypertrophy);HP:0002910(Elevated circulating hepatic transaminase concentration)
DeSanto-Shinawi_Syndrome	MONDO:0018760	5	117	5	0	0	0	5	
Deafness-Lymphedema-Leukemia_Syndrome	MONDO:0013540	12	13	4	0	0	8	4	HP:0000407(Sensorineural hearing impairment);HP:0002719(Recurrent infections);HP:0006517(Intraalveolar phospholipid accumulation);HP:0010976(Decreased total B cell count);HP:0012312(Decreased total monocyte count);HP:0020178(Abnormal dendritic cell count);HP:0032283(Disseminated nontuberculous mycobacterial infection);HP:0040218(Reduced total natural killer cell count)
Deficiency_of_Adenosine_Deaminase_2	MONDO:0014306	16	59	10	2	0	4	12	HP:0001873(Thrombocytopenia);HP:0001875(Decreased total neutrophil count);HP:0002170(Intracranial hemorrhage);HP:0012410(Pure red cell aplasia)
Delayed_Sleep_Phase_Syndrome	MONDO:0024377	6	0	0	0	0	6	0	HP:0000716(Depression);HP:0000739(Anxiety);HP:0002329(Drowsiness);HP:0006979(Sleep-wake cycle disturbance);HP:0012689(Abnormal pineal melatonin secretion);HP:0031354(Sleep onset insomnia)
Delpire-McNeill_Syndrome	MONDO:0033667	11	15	6	0	1	4	7	HP:0001249(Intellectual disability);HP:0001250(Seizure);HP:0008568(Vestibular areflexia);HP:0011968(Feeding difficulties)
Dementia_with_Lewy_Bodies	MONDO:0007488	4	6	3	0	0	1	3	HP:5200291(REM sleep behavior disorder)
Dengue	MONDO:0005502	2	23	2	0	0	0	2	
Dental_Caries	MONDO:0005276	3	0	0	0	0	3	0	HP:0000670(Carious teeth);HP:0006285(Enamel hypomineralization);HP:0030757(Tooth abscess)
Dental_Fluorosis	MONDO:0006722	3	0	0	0	0	3	0	HP:0000682(Abnormal dental enamel morphology);HP:0006285(Enamel hypomineralization);HP:0009722(Dental enamel pits)
Dentatorubral-Pallidoluysian_Atrophy	MONDO:0007435	6	32	6	0	0	0	6	
Dentici-Novelli_neurodevelopmental_syndrome	MONDO:0859251	8	26	2	0	4	2	6	HP:0001332(Dystonia);HP:0200134(Epileptic encephalopathy)
Dermatofibrosarcoma_Protuberans	MONDO:0011934	2	8	0	0	1	1	1	HP:0031459(Soft tissue neoplasm)
Dermatomyositis	MONDO:0016367	47	97	45	0	0	2	45	HP:0003281(Increased circulating ferritin concentration);HP:0025520(Calcinosis cutis)
Dermoid_Cyst	MONDO:0002378	11	1	1	1	0	9	2	HP:0001140(Limbal dermoid);HP:0001250(Seizure);HP:0001287(Meningitis);HP:0002315(Headache);HP:0012097(Intracranial dermoid cyst);HP:0030731(Carcinoma);HP:0031500(Abdominal mass);HP:0034267(Pelvic pain);HP:0430145(Nasal dermoid cyst)
Desmoplastic_Small_Round_Cell_Tumor	MONDO:0019373	5	18	2	0	1	2	3	HP:0001945(Fever);HP:0031500(Abdominal mass)
Dextro_Transposition_of_the_Great_Arteries	MONDO:0019443	7	42	6	0	0	1	6	HP:0001655(Patent foramen ovale)
Diabetes_Mellitus	MONDO:0005015	18	221	11	4	0	3	15	HP:0001677(Coronary artery atherosclerosis);HP:0004950(Peripheral arterial stenosis);HP:0012378(Fatigue)
Diabetic_Retinopathy	MONDO:0005266	6	0	0	0	0	6	0	HP:0000501(Glaucoma);HP:0000505(Visual impairment);HP:0000573(Retinal hemorrhage);HP:0007902(Vitreous hemorrhage);HP:0007917(Tractional retinal detachment);HP:0040049(Macular edema)
Diamond-Blackfan_Anemia	MONDO:0015253	8	209	7	1	0	0	8	
Diastrophic_Dysplasia	MONDO:0009107	22	81	16	1	0	5	17	HP:0000193(Bifid uvula);HP:0001840(Metatarsus adductus);HP:0002786(Tracheobronchomalacia);HP:0003088(Premature osteoarthritis);HP:0010292(Absent uvula)
Dientamoebiasis	MONDO:0024608	10	0	0	0	0	10	0	HP:0000989(Pruritus);HP:0001025(Urticaria);HP:0001824(Weight loss);HP:0001880(Increased total eosinophil count);HP:0002014(Diarrhea);HP:0002018(Nausea);HP:0002027(Abdominal pain);HP:0002039(Anorexia);HP:0012378(Fatigue);HP:0033589(Flatulence)
Dieulafoy_Lesion	MONDO:0001427	2	0	0	0	0	2	0	HP:0002239(Gastrointestinal hemorrhage);HP:0002615(Hypotension)
Diffuse_Astrocytoma	MONDO:0016686	4	0	0	0	0	4	0	HP:0001250(Seizure);HP:0001269(Hemiparesis);HP:0002315(Headache);HP:0100543(Cognitive impairment)
Diffuse_Large_B_Cell_Lymphoma	MONDO:0018905	6	8	0	0	0	6	0	HP:0001744(Splenomegaly);HP:0001824(Weight loss);HP:0001903(Anemia);HP:0002716(Lymphadenopathy);HP:0012378(Fatigue);HP:0030166(Night sweats)
Diffuse_Nonepidermolytic_Palmoplantar_Keratoderma	MONDO:0010962	15	15	15	0	0	0	15	
Dilated_Cardiomyopathy	MONDO:0005021	8	501	8	0	0	0	8	
Dimethylglycine_Dehydrogenase_Deficiency	MONDO:0011610	3	22	3	0	0	0	3	
Disorder_of_Catecholamine_Synthesis	MONDO:0017759	8	95	4	0	2	2	6	HP:0001300(Parkinsonism);HP:0004923(Hyperphenylalaninemia)
Dissociative_Identity_Disorder	MONDO:0001159	4	0	0	0	0	4	0	HP:0002354(Memory impairment);HP:0032940(Dissociation);HP:5200217(Depersonalization);HP:5200218(Derealization)
Distal_Hereditary_Motor_Neuronopathy_Autosomal_Dominant	MONDO:0015362	7	184	6	1	0	0	7	
Distal_Hereditary_Motor_Neuronopathy_Autosomal_Recessive	MONDO:0015363	8	136	7	0	1	0	8	
Donnai-Barrow_syndrome	MONDO:0009104	13	42	10	0	1	2	11	HP:0000729(Autistic behavior);HP:0001999(Abnormal facial shape)
Dopa_Responsive_Dystonia	MONDO:0016812	6	98	5	0	1	0	6	
Dorfman_Chanarin_Disease	MONDO:0010155	7	37	4	0	2	1	6	HP:0001744(Splenomegaly)
Dorsalgia	MONDO:0000001	1	11535	1	0	0	0	1	
Down_syndrome	MONDO:0008608	11	100	5	2	0	4	7	HP:0001263(Global developmental delay);HP:0002185(Neurofibrillary tangles);HP:0002870(Obstructive sleep apnea);HP:0100256(Senile plaques)
Dracunculiasis	MONDO:0016472	6	16	2	0	0	4	2	HP:0001288(Gait disturbance);HP:0002829(Arthralgia);HP:0003326(Myalgia);HP:0012531(Pain)
Dravet_syndrome	MONDO:0100135	49	1	1	1	1	46	3	HP:0000466(Limited neck range of motion);HP:0000729(Autistic behavior);HP:0000736(Short attention span);HP:0000739(Anxiety);HP:0000980(Pallor);HP:0001300(Parkinsonism);HP:0001327(Photosensitive myoclonic seizure);HP:0001336(Myoclonus);HP:0001763(Pes planus);HP:0002063(Rigidity);HP:0002067(Bradykinesia);HP:0002123(Generalized myoclonic seizure);HP:0002283(Global brain atrophy);HP:0002307(Drooling);HP:0002311(Incoordination);HP:0002345(Action tremor);HP:0002349(Focal aware seizure);HP:0002376(Developmental regression);HP:0002384(Focal impaired awareness seizure);HP:0002396(Cogwheel rigidity);HP:0002878(Respiratory failure);HP:0003066(Limited knee extension);HP:0006813(Focal hemiclonic seizure);HP:0007010(Poor fine motor coordination);HP:0007207(Photosensitive tonic-clonic seizure);HP:0007240(Progressive gait ataxia);HP:0007270(Atypical absence seizure);HP:0007359(Focal-onset seizure);HP:0008081(Pes valgus);HP:0008770(Obsessive-compulsive trait);HP:0008947(Floppy infant);HP:0010818(Generalized tonic seizure);HP:0010841(Multifocal epileptiform discharges);HP:0011169(Generalized clonic seizure);HP:0011182(Interictal epileptiform activity);HP:0011185(EEG with focal epileptiform discharges);HP:0011198(EEG with generalized epileptiform discharges);HP:0011468(Facial tics);HP:0012847(Epilepsia partialis continua);HP:0025101(Dysgenesis of the hippocampus);HP:0031475(Status epilepticus without prominent motor symptoms);HP:0033258(Sudden unexpected death in epilepsy);HP:0100543(Cognitive impairment);HP:0100694(Tibial torsion);HP:0100710(Impulsivity);HP:0200048(Cyanotic episode)
Drug_or_Toxin-Induced_Pulmonary_Arterial_Hypertension	MONDO:0017149	6	0	0	0	0	6	0	HP:0001279(Syncope);HP:0001708(Right ventricular failure);HP:0002092(Pulmonary arterial hypertension);HP:0002094(Dyspnea);HP:0012378(Fatigue);HP:0012398(Peripheral edema)
Duane_Radial_Ray_Syndrome	MONDO:0011812	27	79	26	0	1	0	27	
Duane_Retraction_Syndrome	MONDO:0007473	10	65	9	0	0	1	9	HP:0000539(Abnormality of refraction)
Duchenne_Muscular_Dystrophy	MONDO:0010679	17	39	17	0	0	0	17	
Dupuytrens_Contracture	MONDO:0006345	4	0	0	0	0	4	0	HP:0005679(Dupuytren contracture);HP:0012785(Flexion contracture of finger);HP:0032541(Knuckle pad);HP:0033466(Weak grip)
Dysembryoplastic_Neuroepithelial_Tumor	MONDO:0005505	1	0	0	0	0	1	0	HP:0007359(Focal-onset seizure)
Dyskeratosis_Congenita	MONDO:0015780	12	185	10	1	0	1	11	HP:0030490(Exudative vitreoretinopathy)
Dyslexia	MONDO:0005489	4	0	0	0	0	4	0	HP:0000750(Delayed speech and language development);HP:0001328(Specific learning disability);HP:0007018(Attention deficit hyperactivity disorder);HP:0010522(Dyslexia)
Dystroglycanopathy	MONDO:0018276	9	350	9	0	0	0	9	
Dystrophic_Epidermolysis_Bullosa	MONDO:0006543	15	132	13	1	0	1	14	HP:0010554(Cutaneous finger syndactyly)
EAST_Syndrome	MONDO:0013005	9	39	7	0	1	1	8	HP:0000512(Abnormal electroretinogram)
EBV_Associated_Gastric_Cancer	MONDO:0001056	6	7	1	0	0	5	1	HP:0001824(Weight loss);HP:0001903(Anemia);HP:0002240(Hepatomegaly);HP:0002716(Lymphadenopathy);HP:0012378(Fatigue)
ECHS1_Deficiency	MONDO:0014563	9	24	2	1	1	5	4	HP:0000648(Optic atrophy);HP:0001250(Seizure);HP:0002376(Developmental regression);HP:0003128(Lactic acidosis);HP:0007146(Bilateral basal ganglia lesions)
EDARADD_Hypohidrotic_Ectodermal_Dysplasia	MONDO:0013983	13	20	7	0	1	5	8	HP:0000966(Hypohidrosis);HP:0001097(Keratoconjunctivitis sicca);HP:0002007(Frontal bossing);HP:0002046(Heat intolerance);HP:0008404(Nail dystrophy)
EDAR_Hypohidrotic_Ectodermal_Dysplasia	MONDO:0016535	15	166	12	2	0	1	14	HP:0031416(Abnormal nasal mucus secretion)
EDN3_EDNRB_Waardenburg_Shah	MONDO:0019518	2	38	2	0	0	0	2	
EFL1-related_Shwachman-Diamond_syndrome	MONDO:0044205	6	25	3	0	0	3	3	HP:0001876(Pancytopenia);HP:0004377(Hematological neoplasm);HP:0100255(Metaphyseal dysplasia)
EGFR_Mutant_NSCLC	MONDO:0005061	7	0	0	0	0	7	0	HP:0001824(Weight loss);HP:0002094(Dyspnea);HP:0002202(Pleural effusion);HP:0004375(Neoplasm of the nervous system);HP:0012735(Cough);HP:0030078(Lung adenocarcinoma);HP:0100526(Neoplasm of the lung)
EML1_Ribbon_Heterotopia	MONDO:0020491	14	53	6	3	1	4	10	HP:0000486(Strabismus);HP:0000505(Visual impairment);HP:0000648(Optic atrophy);HP:0001355(Megalencephaly)
ER_Positive_Breast_Cancer	MONDO:0006512	2	0	0	0	0	2	0	HP:0002664(Neoplasm);HP:0003002(Breast carcinoma)
EYS_Related_Retinitis_Pigmentosa	MONDO:0011272	9	10	4	2	1	2	7	HP:0000529(Progressive visual loss);HP:0011505(Cystoid macular edema)
Ebola_Virus_Disease_EVD	MONDO:0005737	16	30	9	0	0	7	9	HP:0001410(Decreased liver function);HP:0001944(Dehydration);HP:0002910(Elevated circulating hepatic transaminase concentration);HP:0003111(Abnormal blood ion concentration);HP:0003326(Myalgia);HP:0012378(Fatigue);HP:0031273(Shock)
Ectodermal_Dysplasia_and_Immunodeficiency_2	MONDO:0012806	11	19	2	1	1	7	4	HP:0000607(Periorbital wrinkles);HP:0003496(Increased circulating IgM level);HP:0004432(Agammaglobulinemia);HP:0010976(Decreased total B cell count);HP:0011274(Recurrent mycobacterial infections);HP:0033581(Absent peripheral lymph nodes in presence of infection);HP:0100827(Increased total lymphocyte count)
Ehlers-Danlos_Syndrome	MONDO:0020066	16	657	14	1	0	1	15	HP:0033608(Pulmonary nodule)
Ehlers-Danlos_Syndrome_COL5A1-related	MONDO:0007522	12	89	12	0	0	0	12	
Ellis-van_Creveld_Syndrome	MONDO:0009162	16	68	16	0	0	0	16	
Elsahy-Waters_Syndrome	MONDO:0008885	15	102	10	2	1	2	13	HP:0001072(Thickened skin);HP:0001596(Alopecia)
Embryonal_Rhabdomyosarcoma	MONDO:0009993	4	2	0	0	0	4	0	HP:0000520(Proptosis);HP:0000790(Hematuria);HP:0001824(Weight loss);HP:0031459(Soft tissue neoplasm)
Emery_Dreifuss_Muscular_Dystrophy	MONDO:0016830	16	128	14	1	0	1	15	HP:0001907(Thromboembolism)
Empty_Nose_Syndrome	MONDO:1060148	11	0	0	0	0	11	0	HP:0000433(Abnormal nasal mucosa morphology);HP:0000716(Depression);HP:0000739(Anxiety);HP:0001742(Nasal congestion);HP:0002094(Dyspnea);HP:0002315(Headache);HP:0002360(Sleep disturbance);HP:0002883(Hyperventilation);HP:0004409(Hyposmia);HP:0031589(Suicidal ideation);HP:0033521(Nasal dryness)
Encephalocraniocutaneous_Lipomatosis	MONDO:0013074	6	80	4	1	0	1	5	HP:0010816(Epidermal nevus)
Endometrial_Carcinoma	MONDO:0002447	4	0	0	0	0	4	0	HP:0001903(Anemia);HP:0012114(Endometrial carcinoma);HP:0033840(Postmenopausal bleeding);HP:0034267(Pelvic pain)
Endometrial_Endometrioid_Adenocarcinoma	MONDO:0006192	3	0	0	0	0	3	0	HP:0001903(Anemia);HP:0033840(Postmenopausal bleeding);HP:0034267(Pelvic pain)
Endometriosis	MONDO:0005133	7	0	0	0	0	7	0	HP:0000132(Menorrhagia);HP:0000789(Infertility);HP:0002027(Abdominal pain);HP:0012378(Fatigue);HP:0012532(Chronic pain);HP:0030016(Dyspareunia);HP:0100607(Dysmenorrhea)
Enhanced_S-Cone_Syndrome	MONDO:0100288	7	26	5	1	1	0	7	
Eosinophilic_Esophagitis	MONDO:0005361	5	8	2	0	0	3	2	HP:0002043(Esophageal stricture);HP:0011968(Feeding difficulties);HP:0031984(Esophageal food impaction)
Eosinophilic_Fasciitis	MONDO:0009175	6	17	2	1	0	3	3	HP:0001072(Thickened skin);HP:0001371(Flexion contracture);HP:0003237(Increased circulating IgG concentration)
Eosinophilic_Granulomatosis_with_Polyangiitis	MONDO:0015943	24	67	21	1	2	0	24	
Epidermolysis_Bullosa	MONDO:0006541	10	446	8	1	1	0	10	
Epidermolysis_Bullosa_Simplex	MONDO:0017610	5	228	5	0	0	0	5	
Epilepsy	MONDO:0005027	27	1220	24	3	0	0	27	
Epilepsy_of_Infancy_with_Migrating_Focal_Seizures	MONDO:0017385	8	49	5	2	0	1	7	HP:0002104(Apnea)
Epilepsy_with_Myoclonic_Atonic_Seizures	MONDO:0014633	7	48	6	0	1	0	7	
Episodic_Ataxia	MONDO:0016227	6	89	6	0	0	0	6	
Epithelioid_Sarcoma	MONDO:0017387	3	1	0	0	0	3	0	HP:0002733(Abnormal lymph node morphology);HP:0031459(Soft tissue neoplasm);HP:0200042(Skin ulcer)
Erdheim-Chester_Disease	MONDO:0018153	7	41	5	2	0	0	7	
Erythrokeratodermia_Variabilis	MONDO:0017851	3	67	2	1	0	0	3	
Erythropoietic_Protoporphyria	MONDO:0001676	8	17	6	0	0	2	6	HP:0002611(Cholestatic liver disease);HP:0100725(Lichenification)
Esophageal_Adenocarcinoma	MONDO:0005028	6	10	1	0	0	5	1	HP:0001824(Weight loss);HP:0001903(Anemia);HP:0002015(Dysphagia);HP:0002239(Gastrointestinal hemorrhage);HP:0032043(Odynophagia)
Esophageal_Atresia	MONDO:0001044	15	0	0	0	0	15	0	HP:0001531(Failure to thrive in infancy);HP:0002015(Dysphagia);HP:0002020(Gastroesophageal reflux);HP:0002032(Esophageal atresia);HP:0002091(Restrictive ventilatory defect);HP:0002098(Respiratory distress);HP:0002205(Recurrent respiratory infections);HP:0002575(Tracheoesophageal fistula);HP:0002579(Gastrointestinal dysmotility);HP:0002835(Aspiration);HP:0003781(Excessive salivation);HP:0008872(Feeding difficulties in infancy);HP:0010963(Absence of stomach bubble on fetal sonography);HP:0030680(Abnormal cardiovascular system morphology);HP:0100633(Esophagitis)
Esophageal_Carcinoma	MONDO:0019086	4	11	0	0	0	4	0	HP:0001824(Weight loss);HP:0002015(Dysphagia);HP:0002248(Hematemesis);HP:0032043(Odynophagia)
