class_id	class_label	total	present	absent	coverage_pct	module_hint
NCIT:C63589	Regimen Used to Treat Acute Myeloid Leukemia	2	0	2	0	-
NCIT:C203473	Regimen Used to Treat Ampullary Adenocarcinoma	2	0	2	0	-
NCIT:C63586	Regimen Used to Treat Colorectal Carcinoma	2	0	2	0	-
NCIT:C63361	Regimen Used to Treat Gastric Carcinoma	2	0	2	0	-
NCIT:C159454	Regimen Used to Treat Hepatobiliary Cancer	2	0	2	0	-
NCIT:C159872	Regimen Used to Treat Malignant Bone Marrow Neoplasm	2	0	2	0	-
NCIT:C159900	Regimen Used to Treat Malignant Fallopian Tube Neoplasm	2	0	2	0	-
NCIT:C159901	Regimen Used to Treat Malignant Peritoneal Neoplasm	2	0	2	0	-
NCIT:C159462	Regimen Used to Treat Malignant Soft Tissue Neoplasm	2	0	2	0	-
NCIT:C186720	Regimen Used to Treat Myeloid Neoplasm	2	0	2	0	-
NCIT:C63359	Regimen Used to Treat Small Cell Lung Carcinoma	2	0	2	0	-
NCIT:C83480	Retired Concept 2004	2	0	2	0	-
NCIT:C2181	Steroidal Estrogen	2	0	2	0	-
NCIT:C2701	Therapeutic Immune Globulin	2	0	2	0	-
NCIT:C894	Toxin	2	0	2	0	-
NCIT:C96398	Toxoid Vaccine	2	0	2	0	-
NCIT:C94727	Tricyclic Antidepressant	2	0	2	0	-
NCIT:C2082	Uroprotective Agent	2	0	2	0	-
NCIT:C2835	Vaccine Antigen	2	0	2	0	-
NCIT:C217652	Viral RNA Polymerase Inhibitor	2	0	2	0	-
NCIT:C2157	Adenosine Deaminase Inhibitor	2	1	1	50	-
NCIT:C78273	Agent Affecting Respiratory System	2	1	1	50	-
NCIT:C112889	Anti-CD19 Monoclonal Antibody	2	1	1	50	-
NCIT:C200711	Anti-CD20/Anti-CD3 Bispecific Antibody	2	1	1	50	-
NCIT:C155321	Anti-CD38 Monoclonal Antibody	2	1	1	50	-
NCIT:C155712	Anti-HER2 Antibody-drug Conjugate	2	1	1	50	-
NCIT:C200106	Anti-TROP2 Antibody-drug Conjugate	2	1	1	50	-
NCIT:C164001	Anti-c-Met Monoclonal Antibody	2	1	1	50	-
NCIT:C164008	CD38-targeting Agent	2	1	1	50	-
NCIT:C80509	COX-2 Inhibitor	2	1	1	50	-
NCIT:C146638	Calcineurin Inhibitor	2	1	1	50	-
NCIT:C137864	Calcium Supplement	2	1	1	50	-
NCIT:C2153	Dihydrofolate Reductase Inhibitor	2	1	1	50	-
NCIT:C461	Dye	2	1	1	50	-
NCIT:C1331	Epipodophyllotoxin Compound	2	1	1	50	-
NCIT:C215224	Exatecan Derivative-containing Antibody-drug Conjugate	2	1	1	50	-
NCIT:C2087	Inosine Monophosphate Dehydrogenase Inhibitor	2	1	1	50	-
NCIT:C201853	KRAS G12C Inhibitor	2	1	1	50	-
NCIT:C200729	KRAS Inhibitor	2	1	1	50	-
NCIT:C94716	Ketone	2	1	1	50	-
NCIT:C663	Mitomycin Antineoplastic Antibiotic	2	1	1	50	-
NCIT:C29696	Muscle Relaxant	2	1	1	50	-
NCIT:C1509	Neuroprotective Agent	2	1	1	50	-
NCIT:C2088	Ornithine Decarboxylase Inhibitor	2	1	1	50	-
NCIT:C1899	Physiology-Regulatory Factor	2	1	1	50	-
NCIT:C2076	Polyamine Synthesis Inhibitor	2	1	1	50	-
NCIT:C796	Quinone Compound	2	1	1	50	-
NCIT:C1902	Ras Inhibitor	2	1	1	50	-
NCIT:C2116	Selective Estrogen Receptor Down Regulator	2	1	1	50	-
NCIT:C62799	Somatostatin Receptor Agonist	2	1	1	50	-
NCIT:C202119	TROP2-targeting Agent	2	1	1	50	-
NCIT:C201818	Anti-C5 Monoclonal Antibody	2	2	0	100	-
NCIT:C128036	Anti-CTLA-4 Monoclonal Antibody	2	2	0	100	-
NCIT:C191738	CTLA-4-targeting Agent	2	2	0	100	-
NCIT:C199456	Complement Inhibitor	2	2	0	100	-
NCIT:C29575	DNA Polymerase Inhibitor	2	2	0	100	-
NCIT:C217648	Viral DNA Polymerase Inhibitor	2	2	0	100	-
NCIT:C49146	Adenovirus Vaccine	1	0	1	0	-
NCIT:C2188	Alkylphosphocholine Compound	1	0	1	0	-
NCIT:C2254	Amidophosphoribosyltransferase Inhibitor	1	0	1	0	-
NCIT:C231	Amino Acid	1	0	1	0	-
NCIT:C232	Amino Acid, Peptide, or Protein	1	0	1	0	-
NCIT:C245	Anesthetic Agent	1	0	1	0	-
NCIT:C66930	Angiotensin II Receptor Antagonist	1	0	1	0	-
NCIT:C29728	Anorexiant	1	0	1	0	-
NCIT:C1003	Ansamycin Antineoplastic Antibiotic	1	0	1	0	-
NCIT:C29633	Antacid Preparation	1	0	1	0	-
NCIT:C253	Anthraquinone Analogue	1	0	1	0	-
NCIT:C2355	Anti-Adrenal	1	0	1	0	-
NCIT:C181108	Anti-BCMA Antibody-drug Conjugate	1	0	1	0	-
NCIT:C198859	Anti-CD19 Antibody-drug Conjugate	1	0	1	0	-
