dataset,cell_type,gene,comparison,phenotype,n_group1,n_group2,mean_group1,mean_group2,log2_mean_diff,fold_change,test_statistic,pvalue,qvalue_BH,published_adj_p,cohens_d,marker_class,direction,resilient_direction_inferred
Supplementary_Data_1:Fig. 2f,Astrocyte,ACADVL,AD_vs_Control_PAC-level,AD,100,100,,,0.09121748,1.0652687759231114,,0.0023015387935015,0.0026878137865033735,0.006772808465963,,none,up_in_ADPAC,higher_in_impaired
Supplementary_Data_1:Fig. 2f,Astrocyte,ACAP2,AD_vs_Control_PAC-level,AD,100,100,,,0.37792927,1.2994753524251432,,1.2008170638512697e-99,1.4088488364910265e-98,3.55610747982713e-98,,none,up_in_ADPAC,higher_in_impaired
Supplementary_Data_1:Fig. 2f,Astrocyte,ACAP3,AD_vs_Control_PAC-level,AD,100,100,,,0.5070537,1.421144940058959,,3.5932940811630446e-26,1.3707825719551158e-25,3.460023553334075e-25,,none,up_in_ADPAC,higher_in_impaired
Supplementary_Data_1:Fig. 2f,Astrocyte,ACAT1,AD_vs_Control_PAC-level,AD,100,100,,,0.15934661,1.1167812383948184,,0.0007405960840568,0.0009264223143651265,0.0023341349746698,,none,up_in_ADPAC,higher_in_impaired
Supplementary_Data_1:Fig. 2f,Astrocyte,ACAT2,AD_vs_Control_PAC-level,AD,100,100,,,-1.1375923,0.45451748494809385,,1.311411503930446e-37,6.523676135915818e-37,1.6466559720261203e-36,,none,down_in_ADPAC,higher_in_resilient
Supplementary_Data_1:Fig. 2f,Astrocyte,ACBD3,AD_vs_Control_PAC-level,AD,100,100,,,-0.5369098,0.6892456680726947,,4.809833067872515e-26,1.825708001345616e-25,4.608311205150887e-25,,none,down_in_ADPAC,higher_in_resilient
Supplementary_Data_1:Fig. 2f,Astrocyte,ACBD6,AD_vs_Control_PAC-level,AD,100,100,,,0.22118714,1.165692396773903,,1.1129933543108633e-17,3.218974436992095e-17,8.125086791618204e-17,,none,up_in_ADPAC,higher_in_impaired
Supplementary_Data_1:Fig. 2f,Astrocyte,ACER3,AD_vs_Control_PAC-level,AD,100,100,,,0.15658876,1.1146484430712618,,4.270519165092656e-07,7.20176308906158e-07,1.8169175304417128e-06,,none,up_in_ADPAC,higher_in_impaired
Supplementary_Data_1:Fig. 2f,Astrocyte,ACIN1,AD_vs_Control_PAC-level,AD,100,100,,,0.15092634,1.1102821442602833,,6.651502264777842e-08,1.1888235038171007e-07,2.999952628040477e-07,,none,up_in_ADPAC,higher_in_impaired
Supplementary_Data_1:Fig. 2f,Astrocyte,ACKR3,AD_vs_Control_PAC-level,AD,100,100,,,0.1560727,1.1142497984576538,,0.0004369421381444,0.0005616771706272686,0.0014153482204621,,none,up_in_ADPAC,higher_in_impaired
Supplementary_Data_1:Fig. 2f,Astrocyte,ACKR4,AD_vs_Control_PAC-level,AD,100,100,,,-1.2841766,0.4106050852165107,,4.3474614577582617e-44,2.4235237466231874e-43,6.1172715622001965e-43,,none,down_in_ADPAC,higher_in_resilient
Supplementary_Data_1:Fig. 2f,Astrocyte,ACLY,AD_vs_Control_PAC-level,AD,100,100,,,-0.38710877,0.7646604862468545,,5.703933302513317e-07,9.511190587321085e-07,2.399571356430128e-06,,none,down_in_ADPAC,higher_in_resilient
Supplementary_Data_1:Fig. 2f,Astrocyte,ACO1,AD_vs_Control_PAC-level,AD,100,100,,,-0.49513963,0.7094930071060016,,3.4328723261842033e-59,2.405824458104503e-58,6.072596384382198e-58,,none,down_in_ADPAC,higher_in_resilient
Supplementary_Data_1:Fig. 2f,Astrocyte,ACO2,AD_vs_Control_PAC-level,AD,100,100,,,0.23668385,1.1782811727715483,,3.211128542134715e-17,9.11374241834085e-17,2.300420509541736e-16,,none,up_in_ADPAC,higher_in_impaired
